Longitude,Latitude,Speed,Distance,Time,Time in epoch, Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z,pitch_deg,roll_deg,azimuth_deg
-87.64715858,41.86969617,0.0,237.04724,16-21-39-535,1502140899536,-0.039589953,-0.088548124,0.43258178,131.0,-0.071829766,0.0036967776,0.007961354,-0.26706455869402407,-0.7112065740973889,241.21396716301717
-87.64715858,41.86969617,0.0,237.04724,16-21-39-544,1502140899545,-0.039589953,-0.088548124,0.43258178,131.0,-0.071829766,0.0036967776,0.007961354,-0.26706455869402407,-0.7112065740973889,241.21396716301717
-87.64715858,41.86969617,0.0,237.04724,16-21-39-562,1502140899563,-0.039589953,-0.088548124,0.43258178,131.0,-0.071829766,0.0036967776,0.007961354,-0.26706455869402407,-0.7112065740973889,241.21396716301717
-87.64715858,41.86969617,0.0,237.04724,16-21-39-573,1502140899574,-0.039589953,-0.088548124,0.43258178,131.0,-0.071829766,0.0036967776,0.007961354,-0.26706455869402407,-0.7112065740973889,241.21396716301717
-87.64715858,41.86969617,0.0,237.04724,16-21-39-581,1502140899582,-0.039589953,-0.088548124,0.43258178,131.0,-0.071829766,0.0036967776,0.007961354,-0.26706455869402407,-0.7112065740973889,241.21396716301717
-87.64715603,41.86969647,0.0,0.0,16-21-39-632,1502140899633,0.050003752,-0.013992627,0.20341496,129.0,-0.0041854708,0.025002068,-2.8128852E-5,-0.2230809418839187,-0.7641234113312098,235.72127929665464
-87.64715603,41.86969647,0.0,0.0,16-21-39-645,1502140899646,0.08250593,-0.020038474,0.32297835,131.0,0.0016734836,-0.025065362,-0.012811303,-0.19563107862029858,-0.7630991497599723,235.58851407956794
-87.64715603,41.86969647,0.0,0.0,16-21-39-661,1502140899662,0.030779893,-0.03182558,0.3007207,130.0,-4.5704527E-4,-0.01760851,-0.0037565543,-0.20691463117043898,-0.7523513134924282,235.45115897535896
-87.64715603,41.86969647,0.0,0.0,16-21-39-673,1502140899674,0.030779893,-0.03182558,0.3007207,130.0,-4.5704527E-4,-0.01760851,-0.0037565543,-0.20691463117043898,-0.7523513134924282,235.45115897535896
-87.64715603,41.86969647,0.0,0.0,16-21-39-679,1502140899679,0.030779893,-0.03182558,0.3007207,130.0,-4.5704527E-4,-0.01760851,-0.0037565543,-0.20691463117043898,-0.7523513134924282,235.45115897535896
-87.64715603,41.86969647,0.0,0.0,16-21-39-732,1502140899733,0.04967372,-0.004508105,0.40658224,125.0,0.0075324387,-0.030391684,0.007961354,-0.24906319493005877,-0.7494811932979949,235.00818022654863
-87.64715603,41.86969647,0.0,0.0,16-21-39-744,1502140899745,0.034198694,-0.010667336,0.3812056,125.0,0.0075324387,-0.030391684,0.007961354,-0.26798772812946003,-0.7553432031531583,234.85329885692943
-87.64715603,41.86969647,0.0,0.0,16-21-39-760,1502140899761,0.02215145,-0.025697695,0.30274338,123.0,0.0054019094,-0.021869568,0.0021024002,-0.30061978398241573,-0.7645926133106778,234.7063678275041
-87.64715603,41.86969647,0.0,0.0,16-21-39-773,1502140899773,0.0371697,-0.025125073,0.3035971,122.0,0.014456656,-0.036783274,-0.009082877,-0.32725493374410025,-0.7693369267411921,234.55923189240372
-87.64715603,41.86969647,0.0,0.0,16-21-39-778,1502140899778,0.0371697,-0.025125073,0.3035971,122.0,0.014456656,-0.036783274,-0.009082877,-0.32725493374410025,-0.7693369267411921,234.55923189240372
-87.64715603,41.86969647,0.0,0.0,16-21-39-854,1502140899857,0.011379761,-0.039978255,0.32004085,114.0,0.009662967,-0.01707588,-0.0037565543,-0.4163920507030872,-0.7271037860297406,233.94433728218414
-87.64715603,41.86969647,0.0,0.0,16-21-39-854,1502140899857,0.011379761,-0.039978255,0.32004085,114.0,0.009662967,-0.01707588,-0.0037565543,-0.4163920507030872,-0.7271037860297406,233.94433728218414
