frameno;frametime;cir_pos;color
1953;0.0855000019073;"[(1143.5, 162.5), (824.5, 392.5)]";"[1, 1]"
1954;0.0924928188324;"[(1146.5, 158.5), (743.5, 367.5), (880.5, 150.5)]";"[1, 1, 1]"
1955;0.0628609657288;"[(1151.5, 156.5), (772.5, 369.5), (882.5, 150.5)]";"[1, 1, 1]"
1956;0.0563168525696;"[(1154.5, 157.5), (885.5, 149.5)]";"[1, 1]"
1957;0.0757088661194;"[(1161.5, 157.5), (775.5, 371.5), (887.5, 150.5)]";"[1, 1, 1]"
1958;0.0903420448303;"[(1166.5, 155.5), (750.5, 370.5), (892.5, 149.5)]";"[1, 1, 1]"
1959;0.0713770389557;"[(1170.5, 158.5), (781.5, 373.5), (895.5, 150.5)]";"[1, 1, 1]"
1960;0.0886869430542;"[(1178.5, 154.5), (900.5, 148.5), (756.5, 373.5)]";"[1, 1, 1]"
1961;0.0607061386108;"[(1184.5, 156.5), (760.5, 374.5), (903.5, 150.5)]";"[1, 1, 1]"
1962;0.0666539669037;"[(1193.5, 153.5)]";"[1]"
1963;0.0505709648132;"[(1207.5, 147.5), (770.5, 374.5), (919.5, 144.5)]";"[1, 1, 1]"
1964;0.0710830688477;"[(1213.5, 149.5), (805.5, 375.5)]";"[1, 1]"
1965;0.0835139751434;"[(1231.5, 142.5), (811.5, 374.5), (936.5, 137.5)]";"[1, 1, 1]"
1966;0.08975481987;"[(1243.5, 136.5), (947.5, 133.5), (874.5, 397.5)]";"[1, 1, 1]"
1967;0.0838990211487;"[(1254.5, 138.5), (956.5, 132.5), (882.5, 397.5)]";"[1, 1, 1]"
1968;0.0900821685791;"[(1269.5, 135.5), (835.5, 370.5)]";"[1, 1]"
1969;0.0539588928223;"[(981.5, 128.5), (845.5, 372.5)]";"[1, 1]"
1970;0.0756449699402;"[(997.5, 124.5), (857.5, 373.5)]";"[1, 1]"
1971;0.0540130138397;"[(842.5, 370.5)]";"[1]"
1972;0.0642240047455;"[(887.5, 369.5), (1031.5, 115.5)]";"[1, 1]"
1973;0.0736820697784;"[(1053.5, 110.5), (875.5, 367.5)]";"[1, 1]"
1974;0.0737321376801;"[(924.5, 366.5), (1077.5, 106.5)]";"[1, 1]"
1975;0.0614190101624;"[(1004.5, 391.5), (1108.5, 99.5)]";"[1, 1]"
1976;0.0864219665527;"[(1138.5, 91.5), (941.5, 362.5)]";"[1, 1]"
