Longitude,Latitude,Speed,Distance,Time,Time in epoch, Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z,pitch_deg,roll_deg,azimuth_deg
-87.64722304,41.86966484,0.0,222.45146,21-14-05-260,1502158445261,-0.06312163,-0.36858478,0.190277,311.0,7.5586955E-5,0.023936803,0.009026619,-1.5686635065806178,1.698159731097534,178.04299188720756
-87.64722304,41.86966484,0.0,222.45146,21-14-05-319,1502158445319,-0.06312163,-0.36858478,0.190277,311.0,7.5586955E-5,0.023936803,0.009026619,-1.5686635065806178,1.698159731097534,178.04299188720756
-87.64722304,41.86966484,0.0,222.45146,21-14-05-320,1502158445320,-0.06312163,-0.36858478,0.190277,311.0,7.5586955E-5,0.023936803,0.009026619,-1.5686635065806178,1.698159731097534,178.04299188720756
-87.64722304,41.86966484,0.0,222.45146,21-14-05-360,1502158445361,-0.06312163,-0.36858478,0.190277,311.0,7.5586955E-5,0.023936803,0.009026619,-1.5686635065806178,1.698159731097534,178.04299188720756
-87.64722714,41.86966644,0.0,0.0,21-14-05-419,1502158445419,-0.017946584,-0.29837832,0.26860225,324.0,0.009662967,-0.010684293,-0.0042891866,-2.386909070090744,1.6828607476869402,178.85534726633227
-87.64722714,41.86966644,0.0,0.0,21-14-05-420,1502158445420,-0.017946584,-0.29837832,0.26860225,324.0,0.009662967,-0.010684293,-0.0042891866,-2.386909070090744,1.6828607476869402,178.85534726633227
-87.64722714,41.86966644,0.0,0.0,21-14-05-467,1502158445467,0.008577441,-0.25862208,0.3166653,325.0,0.016587187,-0.013880086,0.0063634575,-2.4058726634344616,1.6813316390865036,179.48500874553736
-87.64722879,41.86966796,0.0,0.21740954,21-14-05-519,1502158445519,0.008577441,-0.25862208,0.3166653,325.0,0.016587187,-0.013880086,0.0063634575,-2.4058726634344616,1.6813316390865036,179.48500874553736
-87.64722879,41.86966796,0.0,0.21740954,21-14-05-521,1502158445521,0.008577441,-0.25862208,0.3166653,325.0,0.016587187,-0.013880086,0.0063634575,-2.4058726634344616,1.6813316390865036,179.48500874553736
-87.64722879,41.86966796,0.0,0.21740954,21-14-05-561,1502158445561,-0.046570487,-0.35185164,0.13684914,328.0,0.0149892885,0.005827307,-0.003223922,-2.504601553783115,1.6454435840314352,180.88230516764756
-87.64722879,41.86966796,0.0,0.21740954,21-14-05-619,1502158445620,-0.020151617,-0.36479697,0.27927718,328.0,0.022978771,-0.0016295447,-0.0101481415,-2.4907469419385673,1.6571353737866161,181.54341283779144
-87.64722879,41.86966796,0.0,0.21740954,21-14-05-621,1502158445621,-0.020151617,-0.36479697,0.27927718,328.0,0.022978771,-0.0016295447,-0.0101481415,-2.4907469419385673,1.6571353737866161,181.54341283779144
