frameno;frametime;recarea;cir_pos;color
4879;0.0232570171356;"177600";"[(520, 241)]";"[0]"
4880;0.019504070282;"177600";"[(513, 245)]";"[0]"
4881;0.0635659694672;"177600";"[(297, 217), (503, 249)]";"[0, 0]"
4882;0.0168352127075;"121312";"[(491, 259), (285, 227)]";"[0, 0]"
4883;0.0155839920044;"121312";"[(275, 238)]";"[0]"
4884;0.0120830535889;"121312";"[(267, 241), (475, 271)]";"[0, 0]"
4885;0.0176229476929;"121312";"[(466, 267), (259, 235)]";"[0, 0]"
4886;0.0160880088806;"121312";"[(459, 270), (249, 240)]";"[0, 0]"
4887;0.0108962059021;"121312";"[(248, 242)]";"[0]"
4888;0.0150101184845;"121312";"[(457, 277), (247, 245)]";"[0, 0]"
4889;0.0138490200043;"121312";"[(252, 245)]";"[0]"
4890;0.0146420001984;"121312";"[(252, 243)]";"[0]"
4891;0.0119459629059;"121312";"[(253, 236)]";"[0]"
4892;0.0142109394073;"121312";"[(255, 235)]";"[0]"
4893;0.0161561965942;"121312";"[(264, 233)]";"[0]"
4894;0.0157608985901;"121312";"[(270, 231)]";"[0]"
4895;0.0185298919678;"121312";"[(477, 263), (270, 231)]";"[0, 0]"
4896;0.0175321102142;"121312";"[(478, 260), (273, 231)]";"[0, 0]"
4897;0.0164699554443;"121312";"[(269, 230)]";"[0]"
4898;0.0178411006927;"121312";"[(264, 224)]";"[0]"
4899;0.0167338848114;"121312";"[(259, 221), (467, 253)]";"[0, 0]"
4900;0.0173099040985;"121312";"[(253, 218)]";"[0]"
4901;0.0183410644531;"121312";"[(459, 246), (249, 214)]";"[0, 0]"
4902;0.017245054245;"121312";"[(249, 217)]";"[0]"
4903;0.0172410011292;"121312";"[(461, 250), (251, 218)]";"[0, 0]"
4904;0.0179569721222;"121312";"[(251, 219), (460, 249)]";"[0, 0]"
4905;0.0172760486603;"121312";"[(254, 218), (463, 250)]";"[0, 0]"
4906;0.0177230834961;"121312";"[(255, 219), (464, 249)]";"[0, 0]"
4907;0.0117340087891;"121312";"[(465, 246), (256, 217)]";"[0, 0]"
4908;0.00935816764832;"121312";"[(466, 251), (258, 220)]";"[0, 0]"
4909;0.00884604454041;"121312";"[(464, 251), (255, 221)]";"[0, 0]"
4910;0.00834083557129;"121312";"[(460, 250), (251, 219)]";"[0, 0]"
4911;0.0129599571228;"121312";"[(464, 255), (255, 225)]";"[0, 0]"
4912;0.017678976059;"121312";"[(254, 233)]";"[0]"
4913;0.0171217918396;"121312";"[(453, 266), (241, 236)]";"[0, 0]"
4914;0.0167310237885;"121312";"[(446, 269), (235, 239)]";"[0, 0]"
4915;0.0156729221344;"121312";"[(450, 274), (240, 243)]";"[0, 0]"
4916;0.0185151100159;"121312";"[(458, 279), (251, 247)]";"[0, 0]"
4917;0.0170531272888;"121312";"[(257, 247), (464, 279)]";"[0, 0]"
4918;0.0189669132233;"121312";"[(466, 276), (258, 247)]";"[0, 0]"
4919;0.0184202194214;"121312";"[(469, 280), (260, 247)]";"[0, 0]"
4920;0.0173299312592;"121312";"[(479, 284), (273, 253)]";"[0, 0]"
4921;0.0119371414185;"121312";"[(493, 286), (288, 255)]";"[0, 0]"
4922;0.0157370567322;"121312";"[(504, 281), (301, 250)]";"[0, 0]"
4923;0.0174520015717;"121312";"[(504, 279), (301, 248)]";"[0, 0]"
4924;0.0173468589783;"121312";"[(505, 278), (303, 247)]";"[0, 0]"
4925;0.0166819095612;"121312";"[(311, 257), (514, 285)]";"[0, 0]"
4926;0.0175869464874;"121312";"[(526, 292), (325, 265)]";"[0, 0]"
4927;0.0970869064331;"992507";"[]";"[]"
4928;0.0156700611115;"121312";"[(342, 269)]";"[0]"
4929;0.023344039917;"121312";"[(549, 296)]";"[0]"
4930;0.0183358192444;"177600";"[(356, 267), (554, 293)]";"[0, 0]"
4931;0.0163969993591;"177600";"[(558, 283), (361, 256)]";"[0, 0]"
4932;0.0223200321198;"177600";"[(369, 244), (568, 272)]";"[0, 0]"
4933;0.0208837985992;"177600";"[(385, 233)]";"[0]"
4934;0.0160810947418;"177600";"[(588, 256), (393, 229)]";"[0, 0]"
4935;0.0202929973602;"177600";"[(585, 255), (389, 231)]";"[0, 0]"
4936;0.022383928299;"177600";"[(578, 258), (382, 233)]";"[0, 0]"
4937;0.0235948562622;"177600";"[(578, 249), (380, 223)]";"[0, 0]"
4938;0.0164079666138;"177600";"[(387, 218)]";"[0]"
4939;0.0216588973999;"177600";"[(598, 240), (833, 382), (403, 214)]";"[0, 0, 0]"
4940;0.0306990146637;"177600";"[(621, 233), (428, 208), (420, 370)]";"[0, 0, 0]"
4941;0.0255680084229;"177600";"[(634, 228), (867, 371), (440, 204), (435, 367)]";"[0, 0, 0, 0]"
4942;0.0166411399841;"177600";"[(638, 231), (444, 207)]";"[0, 0]"
4943;0.0270090103149;"177600";"[(444, 208), (638, 233), (443, 370)]";"[0, 0, 0]"
4944;0.0251688957214;"177600";"[(636, 235), (442, 210)]";"[0, 0]"
4945;0.0254719257355;"177600";"[(623, 234), (428, 210), (426, 371)]";"[0, 0, 0]"
4946;0.0258238315582;"177600";"[(408, 203), (604, 229)]";"[0, 0]"
4947;0.022136926651;"177600";"[(391, 195), (588, 223)]";"[0, 0]"
4948;0.0248868465424;"177600";"[(582, 220), (383, 191)]";"[0, 0]"
4949;0.0252220630646;"177600";"[(582, 223), (384, 194)]";"[0, 0]"
4950;0.0215089321136;"177600";"[(585, 221), (387, 192)]";"[0, 0]"
4951;0.0219168663025;"177600";"[(387, 187), (584, 216)]";"[0, 0]"
4952;0.0172438621521;"177600";"[(377, 184), (576, 213)]";"[0, 0]"
4953;0.0184519290924;"177600";"[(358, 179)]";"[0]"
4954;0.022353887558;"177600";"[(341, 171), (544, 204), (781, 353)]";"[0, 0, 0]"
4955;0.0171468257904;"177600";"[(333, 161)]";"[0]"
4956;0.0232610702515;"177600";"[(341, 150), (543, 185)]";"[0, 0]"
4957;0.0215730667114;"177600";"[(363, 148), (564, 182)]";"[0, 0]"
4958;0.0205588340759;"177600";"[(380, 147), (582, 179)]";"[0, 0]"
4959;0.0216338634491;"177600";"[(385, 148)]";"[0]"
4960;0.0163290500641;"177600";"[(576, 179), (376, 147)]";"[0, 0]"
4961;0.0237131118774;"177600";"[(564, 180), (363, 149)]";"[0, 0]"
4962;0.0220620632172;"177600";"[(555, 182)]";"[0]"
4963;0.0176448822021;"177600";"[(351, 154), (553, 185)]";"[0, 0]"
4964;0.0221269130707;"177600";"[(558, 187)]";"[0]"
4965;0.0185489654541;"177600";"[(353, 158)]";"[0]"
4966;0.0250871181488;"177600";"[(544, 182), (341, 149)]";"[0, 0]"
4967;0.0247550010681;"177600";"[(534, 173), (329, 139), (771, 327)]";"[0, 0, 0]"
4968;0.0257940292358;"177600";"[(321, 134), (525, 169)]";"[0, 0]"
4969;0.0260097980499;"177600";"[(526, 181), (320, 149)]";"[0, 0]"
4970;0.0161490440369;"177600";"[(321, 155), (524, 186)]";"[0, 0]"
4971;0.0236759185791;"177600";"[(315, 152)]";"[0]"
4972;0.0246629714966;"177600";"[(312, 156)]";"[0]"
4973;0.0240530967712;"177600";"[(512, 182), (305, 152), (753, 330)]";"[0, 0, 0]"
4974;0.0256469249725;"177600";"[(295, 151), (502, 182), (744, 330)]";"[0, 0, 0]"
4975;0.0220799446106;"177600";"[(496, 185), (287, 155)]";"[0, 0]"
4976;0.0265009403229;"177600";"[(274, 166), (484, 196)]";"[0, 0]"
4977;0.0158660411835;"177600";"[(256, 167), (468, 198)]";"[0, 0]"
4978;0.0250329971313;"177600";"[(231, 168), (446, 199), (692, 348)]";"[0, 0, 0]"
4979;0.022155046463;"177600";"[(424, 202)]";"[0]"
4980;0.019199848175;"177600";"[(418, 204)]";"[0]"
4981;0.0204977989197;"177600";"[(202, 163)]";"[0]"
4982;0.0208928585052;"177600";"[(412, 197), (193, 162)]";"[0, 0]"
4983;0.0257129669189;"177600";"[(183, 174), (402, 210)]";"[0, 0]"
4984;0.0234050750732;"177600";"[(187, 191), (406, 224)]";"[0, 0]"
4985;0.0257658958435;"177600";"[(206, 212), (422, 242)]";"[0, 0]"
4986;0.016215801239;"177600";"[(227, 221)]";"[0]"
4987;0.0181159973145;"177600";"[(237, 219)]";"[0]"
4988;0.0246679782867;"177600";"[(443, 235), (229, 202)]";"[0, 0]"
4989;0.0226430892944;"177600";"[(227, 183), (441, 219)]";"[0, 0]"
4990;0.0256400108337;"177600";"[(226, 170)]";"[0]"
4991;0.0230090618134;"177600";"[(213, 163)]";"[0]"
4992;0.0167078971863;"177600";"[(421, 195), (203, 159)]";"[0, 0]"
4993;0.0104229450226;"177600";"[(198, 155)]";"[0]"
4994;0.0189690589905;"177600";"[(213, 143)]";"[0]"
4995;0.0160799026489;"177600";"[(216, 145), (682, 322)]";"[0, 0]"
4996;0.02681183815;"177600";"[(435, 184)]";"[0]"
4997;0.0221738815308;"177600";"[(223, 158), (439, 189)]";"[0, 0]"
4998;0.0253159999847;"177600";"[(446, 188), (231, 158), (692, 337)]";"[0, 0, 0]"
4999;0.0154509544373;"177600";"[(239, 155), (453, 187)]";"[0, 0]"
5000;0.0152928829193;"177600";"[(459, 188), (248, 157)]";"[0, 0]"
5001;0.0277609825134;"177600";"[(461, 189), (247, 158), (243, 331)]";"[0, 0, 0]"
5002;0.127427101135;"1238885";"[]";"[]"
5003;0.0236458778381;"177600";"[(249, 151)]";"[0]"
5004;0.0214860439301;"177600";"[(259, 152)]";"[0]"
5005;0.0142889022827;"177600";"[(268, 155)]";"[0]"
5006;0.0212650299072;"177600";"[(269, 152)]";"[0]"
5007;0.0928990840912;"1247792";"[]";"[]"
5008;0.0173499584198;"177600";"[(261, 156), (472, 186)]";"[0, 0]"
5009;0.0220329761505;"177600";"[(261, 158), (472, 188)]";"[0, 0]"
5010;0.0221309661865;"177600";"[(475, 192), (262, 162)]";"[0, 0]"
5011;0.0249481201172;"177600";"[(265, 162), (476, 192)]";"[0, 0]"
5012;0.0253360271454;"177600";"[(469, 190), (255, 160), (714, 338)]";"[0, 0, 0]"
5013;0.0256938934326;"177600";"[(455, 182)]";"[0]"
5014;0.0265920162201;"177600";"[(226, 134)]";"[0]"
5015;0.0252330303192;"177600";"[(433, 159), (215, 125)]";"[0, 0]"
5016;0.0177030563354;"177600";"[(431, 163), (212, 129)]";"[0, 0]"
5017;0.0216040611267;"177600";"[(431, 173), (214, 140)]";"[0, 0]"
5018;0.0247638225555;"177600";"[(221, 150)]";"[0]"
5019;0.0256140232086;"177600";"[(228, 157), (689, 333)]";"[0, 0]"
5020;0.0956959724426;"1252434";"[]";"[]"
5021;0.020026922226;"177600";"[(233, 167), (447, 196)]";"[0, 0]"
5022;0.0221090316772;"177600";"[(237, 171), (696, 345)]";"[0, 0]"
5023;0.0266928672791;"177600";"[(455, 205), (241, 176), (245, 348)]";"[0, 0, 0]"
5024;0.0219960212708;"177600";"[(459, 205), (246, 176)]";"[0, 0]"
5025;0.0145530700684;"177600";"[(474, 198)]";"[0]"
5026;0.0224289894104;"177600";"[(285, 168), (494, 195), (285, 340)]";"[0, 0, 0]"
5027;0.0232429504395;"177600";"[(306, 175), (512, 202)]";"[0, 0]"
5028;0.0209939479828;"177600";"[(314, 185)]";"[0]"
5029;0.127322912216;"1256665";"[]";"[]"
5030;0.0130431652069;"177600";"[(514, 209), (307, 183)]";"[0, 0]"
5031;0.0187449455261;"177600";"[(511, 202)]";"[0]"
5032;0.0179920196533;"177600";"[(301, 173)]";"[0]"
5033;0.0221700668335;"177600";"[(305, 170)]";"[0]"
5034;0.0237288475037;"177600";"[(299, 171)]";"[0]"
5035;0.0193159580231;"177600";"[(294, 176)]";"[0]"
5036;0.0224640369415;"177600";"[(289, 183), (498, 214)]";"[0, 0]"
5037;0.0213749408722;"177600";"[(285, 193), (494, 223)]";"[0, 0]"
5038;0.0151150226593;"177600";"[(490, 229), (283, 198)]";"[0, 0]"
5039;0.0254168510437;"177600";"[(502, 229), (299, 199)]";"[0, 0]"
5040;0.0271091461182;"177600";"[(520, 231), (314, 200)]";"[0, 0]"
5041;0.0215229988098;"177600";"[(532, 223), (328, 195)]";"[0, 0]"
5042;0.0215930938721;"177600";"[(339, 191)]";"[0]"
5043;0.0217249393463;"177600";"[(549, 234)]";"[0]"
5044;0.0216729640961;"177600";"[(341, 221), (544, 247)]";"[0, 0]"
5045;0.0225138664246;"177600";"[(520, 243), (317, 215)]";"[0, 0]"
5046;0.0143988132477;"177600";"[(297, 208)]";"[0]"
5047;0.0229070186615;"177600";"[(296, 206)]";"[0]"
5048;0.0225479602814;"177600";"[(294, 198), (501, 227)]";"[0, 0]"
5049;0.0248820781708;"177600";"[(515, 224), (311, 198)]";"[0, 0]"
5050;0.0254039764404;"177600";"[(324, 200), (528, 227)]";"[0, 0]"
5051;0.020740032196;"177600";"[(526, 231), (323, 202)]";"[0, 0]"
5052;0.0215039253235;"177600";"[(313, 206), (519, 233)]";"[0, 0]"
5053;0.0217988491058;"177600";"[(515, 241), (311, 213)]";"[0, 0]"
5054;0.0221581459045;"177600";"[(514, 245), (311, 219)]";"[0, 0]"
5055;0.0209610462189;"177600";"[(305, 222)]";"[0]"
5056;0.0223200321198;"177600";"[(498, 247), (291, 225)]";"[0, 0]"
5057;0.0299379825592;"177600";"[(276, 224)]";"[0]"
5058;0.0209770202637;"177600";"[(254, 224), (466, 246)]";"[0, 0]"
5059;0.0228869915009;"177600";"[(453, 247)]";"[0]"
5060;0.106320142746;"1252440";"[]";"[]"
5061;0.0437800884247;"177600";"[(447, 249)]";"[0]"
5062;0.109080076218;"1224102";"[]";"[]"
5063;0.0179378986359;"177600";"[(450, 253), (238, 229)]";"[0, 0]"
5064;0.0215721130371;"177600";"[(226, 228)]";"[0]"
