frameno;frametime;recarea;cir_pos;color
3564;0.0169458389282;"177600";"[(1550, 347), (1317, 339)]";"[0, 0]"
3565;0.0166521072388;"177600";"[(1543, 347)]";"[0]"
3566;0.0164968967438;"177600";"[(1534, 346), (1300, 338)]";"[0, 0]"
3567;0.0167980194092;"177600";"[(1523, 346)]";"[0]"
3568;0.0167648792267;"177600";"[(1513, 346), (1283, 337)]";"[0, 0]"
3569;0.016795873642;"177600";"[(1501, 346)]";"[0]"
3570;0.0107038021088;"177600";"[(1487, 347)]";"[0]"
3571;0.016566991806;"177600";"[(1472, 350)]";"[0]"
3572;0.01726603508;"177600";"[(1458, 352)]";"[0]"
3573;0.0165479183197;"177600";"[(1445, 354)]";"[0]"
3574;0.158582925797;"1880280";"[(595, 448)]";"[0]"
3575;0.00811696052551;"177600";"[(581, 449)]";"[0]"
3576;0.0118989944458;"177600";"[(565, 451)]";"[0]"
3577;0.119286060333;"1447200";"[(1161, 351)]";"[0]"
3578;0.0141298770905;"177600";"[(1366, 363)]";"[0]"
3579;0.0163059234619;"177600";"[(1350, 365)]";"[0]"
3580;0.0166149139404;"177600";"[(1333, 366)]";"[0]"
3581;0.0166790485382;"177600";"[(1317, 364), (1098, 353)]";"[0, 0]"
3582;0.0169360637665;"177600";"[(1087, 353), (1303, 365), (1304, 395)]";"[0, 0, 1]"
3583;0.17307305336;"2524800";"[]";"[]"
3584;0.151045799255;"2491320";"[]";"[]"
3585;0.0147190093994;"177600";"[(1252, 396)]";"[1]"
3586;0.0460650920868;"451200";"[(1229, 397)]";"[1]"
3587;0.03116106987;"451200";"[(1207, 396)]";"[1]"
3588;0.144653081894;"2397360";"[]";"[]"
3589;0.135629892349;"2368200";"[]";"[]"
3590;0.124910831451;"2342280";"[]";"[]"
3591;0.230463981628;"4389960";"[]";"[]"
3592;0.252016067505;"4359720";"[]";"[]"
3593;0.192213058472;"4334880";"[]";"[]"
3594;0.210362195969;"4304640";"[]";"[]"
3595;0.247055053711;"4273320";"[]";"[]"
3596;0.211293935776;"4238760";"[]";"[]"
3597;0.205507993698;"4215000";"[]";"[]"
3598;0.223092079163;"4188000";"[]";"[]"
3599;0.208339929581;"4163160";"[]";"[]"
3600;0.207201004028;"4137240";"[]";"[]"
3601;0.205451011658;"4107000";"[]";"[]"
3602;0.124839067459;"1561680";"[(1053, 505)]";"[1]"
3603;0.150985002518;"2508600";"[]";"[]"
3604;0.120571136475;"2524800";"[]";"[]"
3605;0.141803026199;"2523720";"[]";"[]"
3606;0.142091035843;"2505360";"[]";"[]"
3607;0.144334077835;"2482680";"[]";"[]"
3608;0.14958190918;"2467560";"[]";"[]"
3609;0.114459991455;"2448120";"[]";"[]"
3610;0.130144119263;"2425440";"[]";"[]"
3611;0.15794801712;"2410320";"[]";"[]"
3612;0.0387058258057;"451200";"[(454, 719)]";"[0]"
3613;0.2467918396;"5256480";"[]";"[]"
3614;0.0262858867645;"278400";"[(497, 372)]";"[1]"
3615;0.0373198986053;"380700";"[(474, 374)]";"[1]"
3616;0.00920701026917;"177600";"[(457, 374)]";"[1]"
3617;0.0135281085968;"177600";"[(440, 373)]";"[1]"
3618;0.240622997284;"3972240";"[]";"[]"
3619;0.203793048859;"3945840";"[]";"[]"
3620;0.00853300094604;"177600";"[(633, 385)]";"[1]"
3621;0.00896501541138;"177600";"[(621, 381)]";"[1]"
3622;0.013279914856;"177600";"[(374, 347)]";"[1]"
3623;0.0161030292511;"177600";"[(368, 348)]";"[1]"
