frameno;frametime;radious;cir_pos;color
5118;0.114583969116;"[5.7008772, 6.5192022]";"[(427.5, 219.5), (624.5, 235.5)]";"[0, 0]"
5119;0.114824056625;"[6.6708322, 7.905694]";"[(627.5, 234.5), (429.5, 217.5)]";"[0, 0]"
5120;0.126228094101;"[6.3639612, 6.6708322]";"[(630.5, 233.5), (435.5, 218.5)]";"[0, 0]"
5121;0.13324213028;"[5.7008772]";"[(634.5, 236.5)]";"[0]"
5122;0.132045984268;"[6.5192022, 5.7008772]";"[(637.5, 236.5), (442.5, 221.5)]";"[0, 0]"
5123;0.13844704628;"[6.5192022, 5.7008772, 6.6708322]";"[(641.5, 236.5), (446.5, 220.5), (891.5, 346.5)]";"[0, 0, 0]"
5124;0.119453907013;"[6.3639612, 6.041523]";"[(455.5, 220.5), (649.5, 237.5)]";"[0, 0]"
5125;0.104067802429;"[5.7008772, 5.7008772]";"[(466.5, 217.5), (661.5, 233.5)]";"[0, 0]"
5126;0.129384994507;"[5.7008772, 6.5192022]";"[(485.5, 214.5), (678.5, 230.5)]";"[0, 0]"
5127;0.148754835129;"[5.7008772, 5.7008772]";"[(700.5, 227.5), (509.5, 211.5)]";"[0, 0]"
5128;0.127600193024;"[6.041523, 6.5192022]";"[(533.5, 206.5), (723.5, 221.5)]";"[0, 0]"
5129;0.135165929794;"[6.041523, 5.7008772]";"[(550.5, 203.5), (739.5, 219.5)]";"[0, 0]"
5130;0.115828990936;"[6.041523, 5.7008772]";"[(751.5, 216.5), (562.5, 202.5)]";"[0, 0]"
5131;0.105422019958;"[5.7008772, 6.6708322]";"[(574.5, 201.5), (762.5, 214.5)]";"[0, 0]"
5132;0.121658086777;"[6.5192022, 5.7008772]";"[(772.5, 210.5), (584.5, 196.5)]";"[0, 0]"
5133;0.15625;"[6.6708322, 5.7008772, 6.5192022]";"[(784.5, 206.5), (596.5, 193.5), (1028.5, 313.5)]";"[0, 0, 0]"
5134;0.14718413353;"[6.3639612, 5.7008772]";"[(795.5, 203.5), (608.5, 190.5)]";"[0, 0]"
5135;0.134219884872;"[5.7008772, 6.6708322]";"[(620.5, 187.5), (806.5, 200.5)]";"[0, 0]"
5136;0.129235029221;"[6.6708322, 5.7008772]";"[(817.5, 198.5), (632.5, 186.5)]";"[0, 0]"
5137;0.145243883133;"[6.041523, 5.7008772]";"[(829.5, 199.5), (644.5, 187.5)]";"[0, 0]"
5138;0.127132892609;"[5.7008772, 5.7008772, 6.041523]";"[(654.5, 191.5), (839.5, 203.5), (1084.5, 306.5)]";"[0, 0, 0]"
5139;0.148588895798;"[5.7008772, 6.3639612, 6.041523]";"[(665.5, 194.5), (849.5, 206.5), (1092.5, 310.5)]";"[0, 0, 0]"
5140;0.145884990692;"[5.7008772, 5.7008772]";"[(674.5, 197.5), (858.5, 209.5)]";"[0, 0]"
5141;0.14847612381;"[5.7008772, 5.7008772]";"[(867.5, 210.5), (683.5, 200.5)]";"[0, 0]"
5142;0.137338876724;"[5.7008772, 5.7008772]";"[(693.5, 202.5), (878.5, 213.5)]";"[0, 0]"
5143;0.128891944885;"[5.7008772, 5.7008772]";"[(701.5, 203.5), (884.5, 215.5)]";"[0, 0]"
5144;0.123559951782;"[6.3639612, 6.6708322]";"[(891.5, 215.5), (709.5, 204.5)]";"[0, 0]"
5145;0.134082794189;"[6.6708322, 6.5192022]";"[(714.5, 203.5), (898.5, 214.5)]";"[0, 0]"
5146;0.141054153442;"[5.7008772, 6.6708322]";"[(723.5, 203.5), (906.5, 214.5)]";"[0, 0]"
5147;0.118078947067;"[6.6708322, 5.7008772, 5.7008772]";"[(913.5, 213.5), (1155.5, 315.5), (747.5, 358.5)]";"[0, 0, 0]"
5148;0.117166042328;"[5.7008772, 5.7008772]";"[(738.5, 201.5), (920.5, 213.5)]";"[0, 0]"
5149;0.120362997055;"[5.7008772, 5.7008772, 7.6485291]";"[(926.5, 212.5), (743.5, 201.5), (1170.5, 317.5)]";"[0, 0, 0]"
5150;0.118086099625;"[5.7008772, 5.7008772, 6.041523]";"[(749.5, 201.5), (931.5, 213.5), (1174.5, 315.5)]";"[0, 0, 0]"
5151;0.121448993683;"[5.7008772, 5.7008772]";"[(756.5, 201.5), (937.5, 211.5)]";"[0, 0]"
5152;0.113692045212;"[5.7008772]";"[(764.5, 199.5)]";"[0]"
5153;0.152573823929;"[5.7008772, 6.6708322]";"[(775.5, 198.5), (957.5, 208.5)]";"[0, 0]"
5154;0.152595996857;"[5.7008772]";"[(966.5, 209.5)]";"[0]"
5155;0.13720703125;"[5.7008772, 5.7008772]";"[(793.5, 199.5), (974.5, 209.5)]";"[0, 0]"
5156;0.124041080475;"[6.041523, 5.7008772, 6.041523]";"[(981.5, 210.5), (800.5, 200.5), (1226.5, 312.5)]";"[0, 0, 0]"
5157;0.130712032318;"[5.7008772, 6.3639612]";"[(806.5, 201.5), (987.5, 211.5)]";"[0, 0]"
5158;0.122487068176;"[6.5192022, 6.041523, 8.5146933]";"[(994.5, 211.5), (828.5, 357.5), (1239.5, 316.5)]";"[0, 0, 0]"
5159;0.148286819458;"[6.041523, 5.7008772]";"[(1001.5, 212.5), (820.5, 202.5)]";"[0, 0]"
