frameno;frametime;recpoint;cir_pos;color
1558;0.0745010375977;"[102, 168, 801, 408]";"[(1073, 326)]";"[1]"
1559;0.086550951004;"[103, 172, 802, 412]";"[(1073, 326)]";"[1]"
1560;0.0828649997711;"[104, 176, 803, 416]";"[(1073, 326)]";"[1]"
1561;0.108901023865;"[105, 186, 804, 426]";"[(1073, 326)]";"[1]"
1562;0.0924851894379;"[107, 198, 806, 438]";"[(1073, 326)]";"[1]"
1563;0.0841708183289;"[109, 210, 808, 450]";"[(1073, 326)]";"[1]"
1564;0.0821170806885;"[110, 212, 809, 452]";"[(1073, 326)]";"[1]"
1565;0.0895080566406;"[110, 210, 809, 450]";"[(1073, 326)]";"[1]"
1566;0.108951091766;"[110, 207, 809, 447]";"[(1073, 326)]";"[1]"
1567;0.0836379528046;"[111, 205, 810, 445]";"[(1073, 326)]";"[1]"
1568;0.0903658866882;"[112, 203, 811, 443]";"[(1073, 326)]";"[1]"
1569;0.0992980003357;"[114, 201, 813, 441]";"[(1073, 326)]";"[1]"
1570;0.0914719104767;"[114, 197, 813, 437]";"[(1073, 326)]";"[1]"
1571;0.104465007782;"[115, 193, 814, 433]";"[(1073, 326)]";"[1]"
1572;0.114344120026;"[115, 188, 814, 428]";"[(1073, 326)]";"[1]"
1573;0.0799939632416;"[115, 186, 814, 426]";"[(1073, 326)]";"[1]"
1574;0.0847160816193;"[116, 184, 815, 424]";"[(1073, 326)]";"[1]"
1575;0.0838580131531;"[116, 182, 815, 422]";"[(1073, 326)]";"[1]"
1576;0.0849978923798;"[116, 179, 815, 419]";"[(1073, 326)]";"[1]"
1577;0.0915768146515;"[117, 174, 816, 414]";"[(1073, 326)]";"[1]"
1578;0.0952558517456;"[118, 168, 817, 408]";"[(1073, 326)]";"[1]"
1579;0.0893261432648;"[120, 166, 819, 406]";"[(1073, 326)]";"[1]"
1580;0.0902359485626;"[121, 165, 820, 405]";"[(1073, 326)]";"[1]"
1581;0.086797952652;"[123, 164, 822, 404]";"[(1073, 326)]";"[1]"
1582;0.111186981201;"[124, 166, 823, 406]";"[(1073, 326)]";"[1]"
1583;0.0856308937073;"[125, 168, 824, 408]";"[(1073, 326)]";"[1]"
1584;0.0943968296051;"[126, 169, 825, 409]";"[(1073, 326)]";"[1]"
1585;0.0892369747162;"[127, 170, 826, 410]";"[(1073, 326)]";"[1]"
1586;0.0881960391998;"[128, 171, 827, 411]";"[(1073, 326)]";"[1]"
1587;0.0851330757141;"[129, 172, 828, 412]";"[(1073, 326)]";"[1]"
1588;0.107966184616;"[131, 173, 830, 413]";"[(1073, 326)]";"[1]"
1589;0.0943338871002;"[132, 174, 831, 414]";"[(1073, 326)]";"[1]"
1590;0.0947380065918;"[133, 176, 832, 416]";"[(1073, 326)]";"[1]"
1591;0.102010965347;"[133, 178, 832, 418]";"[(1073, 326)]";"[1]"
1592;0.12774515152;"[134, 180, 833, 420]";"[(1073, 326)]";"[1]"
1593;0.100559949875;"[134, 182, 833, 422]";"[(1073, 326)]";"[1]"
1594;0.096137046814;"[134, 183, 833, 423]";"[(1073, 326)]";"[1]"
1595;0.0783400535583;"[133, 184, 832, 424]";"[(1073, 326)]";"[1]"
1596;0.0851340293884;"[132, 185, 831, 425]";"[(1073, 326)]";"[1]"
1597;0.0926790237427;"[132, 185, 831, 425]";"[(1073, 326)]";"[1]"
1598;0.101366043091;"[132, 186, 831, 426]";"[(1073, 326)]";"[1]"
1599;0.0875189304352;"[131, 186, 830, 426]";"[(1073, 326)]";"[1]"
1600;0.0923991203308;"[131, 184, 830, 424]";"[(1073, 326)]";"[1]"
1601;0.0910630226135;"[130, 182, 829, 422]";"[(1073, 326)]";"[1]"
1602;0.0814969539642;"[129, 181, 828, 421]";"[(1073, 326)]";"[1]"
1603;0.0793790817261;"[127, 181, 826, 421]";"[(1073, 326)]";"[1]"
1604;0.0871429443359;"[126, 181, 825, 421]";"[(1073, 326)]";"[1]"
1605;0.0916240215302;"[124, 179, 823, 419]";"[(1073, 326)]";"[1]"
1606;0.0930860042572;"[122, 174, 821, 414]";"[(1073, 326)]";"[1]"
1607;0.122515916824;"[119, 170, 818, 410]";"[(1073, 326)]";"[1]"
1608;0.0889611244202;"[117, 169, 816, 409]";"[(1073, 326)]";"[1]"
1609;0.112586021423;"[115, 171, 814, 411]";"[(1073, 326)]";"[1]"
1610;0.102463960648;"[113, 173, 812, 413]";"[(1073, 326)]";"[1]"
1611;0.11439704895;"[111, 173, 810, 413]";"[(1073, 326)]";"[1]"
1612;0.10338807106;"[108, 171, 807, 411]";"[(1073, 326)]";"[1]"
1613;0.0949211120605;"[106, 168, 805, 408]";"[(1073, 326)]";"[1]"
1614;0.107115030289;"[103, 161, 802, 401]";"[(1073, 326)]";"[1]"
1615;0.0921981334686;"[2, 151, 701, 391]";"[(1073, 326)]";"[1]"
1616;0.107330083847;"[0, 148, 699, 388]";"[(1073, 326)]";"[1]"
1617;0.0900428295135;"[0, 145, 699, 385]";"[(1073, 326)]";"[1]"
1618;0.108152151108;"[0, 142, 699, 382]";"[(1073, 326)]";"[1]"
1619;0.0934982299805;"[0, 140, 699, 380]";"[(1073, 326)]";"[1]"
1620;0.116743087769;"[0, 138, 699, 378]";"[(1073, 326)]";"[1]"
1621;0.110847949982;"[0, 138, 699, 378]";"[(1073, 326)]";"[1]"
1622;0.0961110591888;"[0, 137, 699, 377]";"[(1073, 326)]";"[1]"
1623;0.0893380641937;"[0, 136, 699, 376]";"[(1073, 326)]";"[1]"
1624;0.0870428085327;"[0, 136, 699, 376]";"[(1073, 326)]";"[1]"
1625;0.110276937485;"[0, 135, 699, 375]";"[(1073, 326)]";"[1]"
1626;0.0932161808014;"[0, 136, 699, 376]";"[(1073, 326)]";"[1]"
1627;0.0850250720978;"[0, 137, 699, 377]";"[(1073, 326)]";"[1]"
1628;0.098865032196;"[0, 138, 699, 378]";"[(1073, 326)]";"[1]"
1629;0.109496116638;"[0, 137, 699, 377]";"[(1073, 326)]";"[1]"
1630;0.0947279930115;"[0, 137, 699, 377]";"[(1073, 326)]";"[1]"
1631;0.104373931885;"[0, 136, 699, 376]";"[(1073, 326)]";"[1]"
1632;0.098130941391;"[0, 136, 699, 376]";"[(1073, 326)]";"[1]"
1633;0.0937941074371;"[0, 135, 699, 375]";"[(1073, 326)]";"[1]"
1634;0.134159088135;"[0, 134, 699, 374]";"[(1073, 326)]";"[1]"
1635;0.132144927979;"[0, 136, 699, 376]";"[(1073, 326)]";"[1]"
1636;0.107997179031;"[0, 137, 699, 377]";"[(1073, 326)]";"[1]"
1637;0.101665973663;"[0, 139, 699, 379]";"[(1073, 326)]";"[1]"
1638;0.106267929077;"[0, 140, 699, 380]";"[(1073, 326)]";"[1]"
1639;0.0946159362793;"[0, 142, 699, 382]";"[(1073, 326)]";"[1]"
1640;0.100526094437;"[0, 143, 699, 383]";"[(1073, 326)]";"[1]"
1641;0.104701042175;"[0, 144, 699, 384]";"[(1073, 326)]";"[1]"
1642;0.112972021103;"[0, 145, 699, 385]";"[(1073, 326)]";"[1]"
1643;0.102010011673;"[0, 146, 699, 386]";"[(1073, 326)]";"[1]"
1644;0.0868830680847;"[0, 148, 699, 388]";"[(1073, 326)]";"[1]"
1645;0.0367138385773;"[0, 151, 699, 391]";"[(761, 323)]";"[1]"
1646;0.101869106293;"[188, 204, 746, 444]";"[(990, 337)]";"[1]"
1647;0.0877430438995;"[422, 212, 751, 452]";"[(981, 339)]";"[1]"
1648;0.0925838947296;"[288, 214, 748, 454]";"[(975, 345)]";"[1]"
1649;0.079626083374;"[415, 221, 759, 461]";"[(966, 351)]";"[1]"
1650;0.0915741920471;"[303, 229, 771, 469]";"[(946, 352)]";"[1]"
1651;0.0827989578247;"[397, 230, 773, 470]";"[(922, 352)]";"[1]"
1652;0.0503067970276;"[281, 231, 775, 471]";"[(898, 359)]";"[1]"
1653;0.0131318569183;"[229, 190, 781, 430]";"[(630, 349)]";"[1]"
1654;0.00839996337891;"[210, 192, 762, 432]";"[(600, 353)]";"[1]"
1655;0.102626085281;"[196, 191, 748, 431]";"[(600, 353)]";"[1]"
1656;0.0102958679199;"[185, 188, 737, 428]";"[(533, 345)]";"[1]"
1657;0.012284040451;"[174, 186, 726, 426]";"[(495, 333)]";"[1]"
1658;0.0197620391846;"[165, 184, 717, 424]";"[(461, 320), (715, 339)]";"[1, 1]"
1659;0.0165779590607;"[156, 184, 708, 424]";"[(689, 335)]";"[1]"
1660;0.0160789489746;"[148, 183, 700, 423]";"[(671, 333), (415, 313)]";"[1, 1]"
1661;0.012195110321;"[138, 183, 690, 423]";"[(658, 336)]";"[1]"
1662;0.0182600021362;"[128, 183, 680, 423]";"[(648, 339), (388, 318)]";"[1, 1]"
1663;0.0170679092407;"[117, 183, 669, 423]";"[(640, 340), (380, 319)]";"[1, 1]"
1664;0.0164201259613;"[106, 183, 658, 423]";"[(631, 336), (371, 315)]";"[1, 1]"
1665;0.0205121040344;"[95, 182, 647, 422]";"[(621, 332), (360, 312)]";"[1, 1]"
1666;0.0174398422241;"[84, 182, 636, 422]";"[(617, 329), (355, 309)]";"[1, 1]"
1667;0.0102109909058;"[66, 180, 618, 420]";"[(610, 326)]";"[1]"
1668;0.0134310722351;"[46, 178, 598, 418]";"[(340, 304)]";"[1]"
1669;0.0144340991974;"[25, 176, 577, 416]";"[(335, 303)]";"[1]"
1670;0.00890302658081;"[0, 174, 552, 414]";"[(326, 302)]";"[1]"
1671;0.0155239105225;"[0, 172, 552, 412]";"[(321, 303)]";"[1]"
1672;0.0079448223114;"[0, 170, 552, 410]";"[(314, 303)]";"[1]"
1673;0.0155301094055;"[0, 170, 552, 410]";"[(302, 300)]";"[1]"
1674;0.0084068775177;"[0, 172, 552, 412]";"[(290, 298)]";"[1]"
1675;0.0147669315338;"[0, 173, 552, 413]";"[(281, 298)]";"[1]"
1676;0.0109419822693;"[0, 173, 552, 413]";"[(272, 293), (543, 317)]";"[1, 1]"
1677;0.013338804245;"[0, 173, 552, 413]";"[(533, 313), (260, 288)]";"[1, 1]"
1678;0.017716884613;"[0, 172, 552, 412]";"[(518, 312), (242, 285)]";"[1, 1]"
1679;0.0154180526733;"[0, 171, 552, 411]";"[(499, 307), (219, 281)]";"[1, 1]"
1680;0.0137100219727;"[0, 170, 552, 410]";"[(475, 302), (193, 274)]";"[1, 1]"
1681;0.0165858268738;"[0, 169, 552, 409]";"[(455, 300), (168, 271)]";"[1, 1]"
1682;0.012980222702;"[0, 168, 552, 408]";"[(441, 300), (151, 272)]";"[1, 1]"
1683;0.00794100761414;"[0, 167, 552, 407]";"[(138, 274)]";"[1]"
1684;0.0106680393219;"[0, 165, 552, 405]";"[(421, 306), (129, 278)]";"[1, 1]"
1685;0.0108830928802;"[0, 165, 552, 405]";"[(415, 308), (119, 280)]";"[1, 1]"
1686;0.0100789070129;"[0, 165, 552, 405]";"[(408, 308), (113, 280)]";"[1, 1]"
1687;0.0104877948761;"[0, 164, 552, 404]";"[(109, 281), (405, 308)]";"[1, 1]"
1688;0.00942897796631;"[0, 164, 552, 404]";"[(401, 308), (105, 281)]";"[1, 1]"
1689;0.0107131004333;"[0, 164, 552, 404]";"[(397, 307), (100, 280)]";"[1, 1]"
1690;0.0132670402527;"[0, 164, 552, 404]";"[(92, 277), (390, 304)]";"[1, 1]"
1691;0.0233318805695;"[0, 167, 552, 407]";"[(383, 300), (82, 273)]";"[1, 1]"
1692;0.0117979049683;"[0, 169, 552, 409]";"[(378, 299), (77, 273)]";"[1, 1]"
1693;0.0218350887299;"[0, 171, 552, 411]";"[(74, 273), (376, 299)]";"[1, 1]"
1694;0.0116491317749;"[0, 170, 552, 410]";"[(372, 298), (71, 272)]";"[1, 1]"
1695;0.0214309692383;"[0, 169, 552, 409]";"[(365, 297), (61, 271)]";"[1, 1]"
1696;0.0105621814728;"[0, 168, 552, 408]";"[(336, 301), (27, 276)]";"[1, 1]"
1697;0.0189440250397;"[0, 167, 552, 407]";"[(17, 281), (327, 307)]";"[1, 1]"
1698;0.0187380313873;"[0, 166, 552, 406]";"[(317, 312)]";"[1]"
1699;0.00843405723572;"[0, 165, 552, 405]";"[(307, 313)]";"[1]"
1700;0.0154590606689;"[0, 165, 552, 405]";"[(303, 312)]";"[1]"
1701;0.0149538516998;"[0, 165, 552, 405]";"[(307, 311)]";"[1]"
1702;0.011344909668;"[0, 165, 552, 405]";"[(312, 308)]";"[1]"
1703;0.0126450061798;"[0, 166, 552, 406]";"[(319, 307), (5, 281)]";"[1, 1]"
1704;0.0113480091095;"[0, 167, 552, 407]";"[(14, 278), (326, 305)]";"[1, 1]"
