frameno;frametime;filtertime;radious;cir_pos;color
64;0.118692874908;0.00144481658936;"[5.7008772, 5.7008772]";"[(763, 271), (519, 259)]";"[0, 0]"
65;0.120265007019;0.00190997123718;"[5.7008772, 5.5226803]";"[(759, 271), (963, 408)]";"[0, 0]"
66;0.123039960861;0.00148701667786;"[6.5192022, 5.7008772]";"[(759, 268), (514, 257)]";"[0, 0]"
67;0.112195968628;0.00132894515991;"[6.041523, 5.7008772]";"[(757, 264), (513, 252)]";"[0, 0]"
68;0.109811782837;0.00189018249512;"[6.3639612]";"[(758, 259)]";"[0]"
69;0.124725818634;0.00242495536804;"[5.7008772]";"[(761, 256)]";"[0]"
70;0.119192838669;0.00199294090271;"[6.5192022]";"[(767, 251)]";"[0]"
71;0.0932469367981;0.00130105018616;"[5.7008772]";"[(773, 249)]";"[0]"
72;0.0944230556488;0.00132203102112;"[5.7008772]";"[(777, 251)]";"[0]"
73;0.116583108902;0.00186014175415;"[6.5192022]";"[(534, 240)]";"[0]"
74;0.106391191483;0.00240898132324;"[6.6708322]";"[(782, 253)]";"[0]"
75;0.122956037521;0.00149893760681;"[6.6708322, 5.7008772]";"[(786, 251), (989, 390)]";"[0, 0]"
76;0.0963909626007;0.00209498405457;"[6.6708322]";"[(788, 247)]";"[0]"
77;0.0996809005737;0.00165605545044;"[5.7008772, 6.041523]";"[(789, 243), (547, 231)]";"[0, 0]"
78;0.118155002594;0.00154089927673;"[5.7008772]";"[(789, 237)]";"[0]"
79;0.120864868164;0.00237512588501;"[5.7008772]";"[(790, 232)]";"[0]"
80;0.114691972733;0.00149416923523;"[5.7008772]";"[(791, 231)]";"[0]"
81;0.0934228897095;0.00171589851379;"[6.6708322]";"[(793, 230)]";"[0]"
82;0.108530044556;0.00185704231262;"[6.5192022]";"[(792, 229)]";"[0]"
83;0.119869947433;0.00291919708252;"[6.6708322]";"[(790, 231)]";"[0]"
84;0.110830068588;0.00144100189209;"[5.7008772, 5.7008772]";"[(783, 233), (539, 226)]";"[0, 0]"
85;0.113817930222;0.00137901306152;"[6.6708322, 5.7008772]";"[(776, 233), (530, 226)]";"[0, 0]"
86;0.0950119495392;0.00170397758484;"[6.041523, 6.5192022]";"[(769, 234), (521, 226)]";"[0, 0]"
87;0.0964748859406;0.00131607055664;"[5.7008772]";"[(970, 369)]";"[0]"
88;0.11404299736;0.00149607658386;"[5.7008772, 5.7008772]";"[(759, 229), (513, 220)]";"[0, 0]"
89;0.11341714859;0.0018458366394;"[5.7008772, 6.6708322]";"[(508, 219), (755, 227)]";"[0, 0]"
90;0.113700151443;0.0015549659729;"[5.7008772]";"[(755, 231)]";"[0]"
91;0.120641946793;0.00149393081665;"[6.6708322, 5.7008772]";"[(755, 237), (509, 229)]";"[0, 0]"
92;0.115303993225;0.00184512138367;"[6.6708322]";"[(756, 246)]";"[0]"
93;0.114871025085;0.00158405303955;"[5.7008772]";"[(762, 257)]";"[0]"
94;0.119662046432;0.00150299072266;"[5.7008772, 5.7008772]";"[(771, 266), (527, 257)]";"[0, 0]"
95;0.115818977356;-1;"[]";"[]";"[]"
96;0.117865085602;0.00149583816528;"[5.7008772, 5.7008772]";"[(787, 270), (542, 260)]";"[0, 0]"
97;0.119423866272;0.00190711021423;"[6.6708322]";"[(787, 266)]";"[0]"
98;0.123398065567;0.00149297714233;"[5.7008772, 5.7008772]";"[(785, 261), (541, 247)]";"[0, 0]"
99;0.130499839783;0.00206804275513;"[6.6708322]";"[(784, 254)]";"[0]"
100;0.102775096893;0.00142502784729;"[6.041523]";"[(783, 251)]";"[0]"
101;0.100723028183;0.00172591209412;"[7.3824115]";"[(540, 236)]";"[0]"
