frameno;frametime;radious;cir_pos;color
5492;0.115524053574;"[5.7008772, 5.7008772]";"[(288.5, 199.5), (516.5, 227.5)]";"[1, 1]"
5493;0.116744995117;"[5.7008772, 5.7008772]";"[(523.5, 220.5), (295.5, 192.5)]";"[1, 1]"
5494;0.0960280895233;"[6.041523, 5.7008772, 5.7008772]";"[(809.5, 357.5), (527.5, 224.5), (299.5, 197.5)]";"[0, 1, 1]"
5495;0.127232074738;"[5.7008772, 5.7008772]";"[(295.5, 203.5), (524.5, 232.5)]";"[1, 1]"
5496;0.120567798615;"[5.7008772, 5.7008772]";"[(517.5, 235.5), (287.5, 205.5)]";"[1, 1]"
5497;0.0950939655304;"[5.7008772, 5.7008772]";"[(510.5, 240.5), (279.5, 208.5)]";"[1, 1]"
5498;0.100202798843;"[5.7008772, 5.7008772]";"[(504.5, 245.5), (273.5, 213.5)]";"[1, 1]"
5499;0.0994811058044;"[5.7008772, 5.7008772, 5.7008772]";"[(856.5, 417.5), (269.5, 217.5), (501.5, 248.5)]";"[0, 1, 1]"
5500;0.108187913895;"[7.6485291, 5.7008772, 5.7008772]";"[(852.5, 422.5), (497.5, 250.5), (265.5, 219.5)]";"[0, 1, 1]"
5501;0.112692117691;"[5.7008772, 5.7008772]";"[(505.5, 260.5), (274.5, 230.5)]";"[1, 1]"
5502;0.0976769924164;"[6.6708322, 5.7008772, 5.7008772, 6.6708322]";"[(867.5, 434.5), (517.5, 267.5), (286.5, 238.5), (1506.5, 467.5)]";"[0, 1, 1, 1]"
5503;0.114777803421;"[5.7008772]";"[(281.5, 231.5)]";"[1]"
5504;0.098906993866;"[5.7008772]";"[(499.5, 253.5)]";"[1]"
5505;0.0974490642548;"[5.7008772, 6.6708322]";"[(491.5, 250.5), (257.5, 224.5)]";"[1, 1]"
5506;0.124806880951;"[5.7008772]";"[(491.5, 242.5)]";"[1]"
5507;0.108820915222;"[7.6485291, 5.7008772]";"[(782.5, 362.5), (486.5, 231.5)]";"[0, 1]"
5508;0.100667953491;"[5.7008772, 5.7008772]";"[(484.5, 231.5), (245.5, 206.5)]";"[1, 1]"
5509;0.138209104538;"[5.7008772, 5.7008772]";"[(483.5, 237.5), (245.5, 212.5)]";"[1, 1]"
5510;0.128867149353;"[5.7008772, 5.7008772]";"[(479.5, 251.5), (241.5, 225.5)]";"[1, 1]"
5511;0.135375022888;"[5.7008772]";"[(475.5, 265.5)]";"[1]"
