frameno;frametime;red_count;green_count;red_pos;green_pos
549;0.098669052124;1;0;"[[693.5, 833.5]]";"[]"
550;0.109714984894;2;0;"[[694.5, 823.5], [440.5, 811.5]]";"[]"
551;0.106229066849;1;0;"[[695.5, 814.5]]";"[]"
552;0.11211681366;1;0;"[[695.5, 809.5]]";"[]"
553;0.107021093369;1;0;"[[696.5, 806.5]]";"[]"
554;0.111534118652;0;0;"[]";"[]"
555;0.117211103439;2;0;"[[442.5, 790.5], [692.5, 801.5]]";"[]"
556;0.115766048431;0;0;"[]";"[]"
557;0.0872259140015;0;0;"[]";"[]"
558;0.110712051392;2;0;"[[437.5, 771.5], [690.5, 779.5]]";"[]"
559;0.105922937393;1;0;"[[688.5, 767.5]]";"[]"
560;0.110291957855;1;0;"[[429.5, 741.5]]";"[]"
561;0.113148212433;1;0;"[[679.5, 743.5]]";"[]"
562;0.0863120555878;0;0;"[]";"[]"
563;0.110469102859;1;0;"[[675.5, 726.5]]";"[]"
564;0.113914012909;1;0;"[[674.5, 721.5]]";"[]"
565;0.0868589878082;1;0;"[[672.5, 718.5]]";"[]"
566;0.0862069129944;1;0;"[[673.5, 715.5]]";"[]"
567;0.111458063126;1;0;"[[672.5, 709.5]]";"[]"
568;0.10569691658;2;0;"[[422.5, 691.5], [673.5, 700.5]]";"[]"
569;0.111671209335;1;0;"[[673.5, 693.5]]";"[]"
570;0.116621017456;1;0;"[[672.5, 685.5]]";"[]"
571;0.125771999359;1;0;"[[673.5, 679.5]]";"[]"
572;0.0961539745331;2;0;"[[673.5, 670.5], [422.5, 659.5]]";"[]"
573;0.107635974884;1;0;"[[676.5, 660.5]]";"[]"
574;0.10315990448;2;0;"[[676.5, 650.5], [423.5, 642.5]]";"[]"
575;0.099084854126;1;0;"[[677.5, 643.5]]";"[]"
576;0.104480028152;2;0;"[[675.5, 634.5], [423.5, 626.5]]";"[]"
577;0.112131118774;2;0;"[[673.5, 626.5], [421.5, 616.5]]";"[]"
578;0.112807035446;1;0;"[[672.5, 619.5]]";"[]"
