frameno;frametime;radious;cir_pos;color
191;0.118618965149;"[5.7008772, 5.7008772, 5.7008772]";"[(513.5, 245.5), (759.5, 261.5), (749.5, 449.5)]";"[0, 0, 0]"
192;0.112313985825;"[5.7008772]";"[(759.5, 261.5)]";"[0]"
193;0.141600131989;"[7.905694]";"[(759.5, 261.5)]";"[0]"
194;0.131855010986;"[5.7008772, 5.7008772]";"[(759.5, 259.5), (513.5, 246.5)]";"[0, 0]"
195;0.112174987793;"[6.6708322, 6.6708322]";"[(758.5, 259.5), (510.5, 245.5)]";"[0, 0]"
196;0.124572992325;"[5.7008772]";"[(759.5, 259.5)]";"[0]"
197;0.128523826599;"[6.3639612, 6.041523, 5.7008772]";"[(761.5, 263.5), (515.5, 249.5), (964.5, 404.5)]";"[0, 0, 0]"
198;0.12872004509;"[5.7008772, 6.6708322]";"[(765.5, 269.5), (520.5, 253.5)]";"[0, 0]"
199;0.121115207672;"[5.7008772, 6.5192022]";"[(767.5, 270.5), (524.5, 256.5)]";"[0, 0]"
200;0.126636981964;"[7.905694]";"[(769.5, 271.5)]";"[0]"
201;0.103143930435;"[]";"[]";"[]"
202;0.106076955795;"[]";"[]";"[]"
203;0.0970990657806;"[5.7008772]";"[(773.5, 272.5)]";"[0]"
204;0.122756004333;"[6.6708322, 7.1063352]";"[(528.5, 259.5), (773.5, 273.5)]";"[0, 0]"
205;0.114682197571;"[6.6708322, 6.6708322]";"[(769.5, 272.5), (526.5, 258.5)]";"[0, 0]"
206;0.091057062149;"[5.7008772, 6.6708322]";"[(768.5, 268.5), (972.5, 410.5)]";"[0, 0]"
207;0.110507011414;"[7.905694, 5.7008772]";"[(769.5, 267.5), (974.5, 409.5)]";"[0, 0]"
208;0.124660015106;"[7.905694]";"[(769.5, 266.5)]";"[0]"
209;0.111335992813;"[6.6708322, 5.7008772]";"[(768.5, 264.5), (522.5, 249.5)]";"[0, 0]"
210;0.11668586731;"[8.7464275]";"[(768.5, 260.5)]";"[0]"
211;0.0992300510406;"[7.7781744]";"[(767.5, 261.5)]";"[0]"
212;0.121017932892;"[7.7781744]";"[(767.5, 261.5)]";"[0]"
213;0.103493928909;"[6.6708322]";"[(766.5, 260.5)]";"[0]"
214;0.103741168976;"[5.7008772]";"[(753.5, 257.5)]";"[0]"
215;0.1125831604;"[5.7008772, 6.5192022]";"[(755.5, 257.5), (512.5, 244.5)]";"[0, 0]"
216;0.119318008423;"[6.6708322]";"[(759.5, 259.5)]";"[0]"
217;0.118573188782;"[5.7008772, 6.6708322, 5.7008772]";"[(521.5, 258.5), (765.5, 270.5), (972.5, 408.5)]";"[0, 0, 0]"
218;0.122549057007;"[6.041523, 5.7008772]";"[(761.5, 273.5), (515.5, 261.5)]";"[0, 0]"
219;0.133312940598;"[5.7008772, 5.7008772, 5.7008772]";"[(757.5, 273.5), (513.5, 264.5), (753.5, 460.5)]";"[0, 0, 0]"
220;0.120573997498;"[6.9641943, 5.7008772]";"[(763.5, 273.5), (517.5, 265.5)]";"[0, 0]"
221;0.113214015961;"[6.5192022]";"[(762.5, 271.5)]";"[0]"
222;0.109954118729;"[5.7008772]";"[(760.5, 271.5)]";"[0]"
223;0.100260019302;"[6.041523, 5.7008772]";"[(757.5, 267.5), (509.5, 257.5)]";"[0, 0]"
224;0.0910449028015;"[6.9641943, 6.6708322]";"[(754.5, 262.5), (506.5, 252.5)]";"[0, 0]"
225;0.109378814697;"[6.6708322]";"[(756.5, 261.5)]";"[0]"
226;0.115520000458;"[6.5192022]";"[(759.5, 262.5)]";"[0]"
227;0.129195928574;"[6.6708322, 6.5192022]";"[(764.5, 265.5), (520.5, 252.5)]";"[0, 0]"
228;0.130362033844;"[5.7008772, 7.6485291]";"[(974.5, 407.5), (769.5, 268.5)]";"[0, 0]"
229;0.127995967865;"[7.905694, 6.6708322]";"[(769.5, 267.5), (526.5, 255.5)]";"[0, 0]"
230;0.112413883209;"[6.041523]";"[(768.5, 267.5)]";"[0]"
231;0.128350973129;"[]";"[]";"[]"
232;0.116723060608;"[5.7008772]";"[(770.5, 267.5)]";"[0]"
233;0.117705106735;"[5.7008772, 5.7008772]";"[(523.5, 251.5), (769.5, 267.5)]";"[0, 0]"
234;0.107757091522;"[]";"[]";"[]"
235;0.122138023376;"[5.7008772]";"[(763.5, 263.5)]";"[0]"
236;0.129034996033;"[6.041523, 5.7008772]";"[(763.5, 263.5), (517.5, 249.5)]";"[0, 0]"
237;0.0985059738159;"[5.7008772, 5.7008772, 6.6708322]";"[(765.5, 264.5), (970.5, 406.5), (518.5, 252.5)]";"[0, 0, 0]"
238;0.137652158737;"[9.1923885]";"[(770.5, 266.5)]";"[0]"
239;0.140163898468;"[5.7008772]";"[(779.5, 268.5)]";"[0]"
240;0.101921081543;"[6.6708322]";"[(778.5, 268.5)]";"[0]"
241;0.09375;"[6.041523, 5.7008772]";"[(777.5, 269.5), (981.5, 407.5)]";"[0, 0]"
242;0.121320009232;"[5.7008772]";"[(777.5, 267.5)]";"[0]"
