frameno;frametime;radious;cir_pos;color
606;0.119374036789;"[5.7008772, 6.6708322]";"[(690.5, 397.5), (436.5, 384.5)]";"[0, 0]"
607;0.129707098007;"[5.7008772]";"[(689.5, 389.5)]";"[0]"
608;0.129091024399;"[6.6708322]";"[(688.5, 380.5)]";"[0]"
609;0.10660815239;"[5.7008772]";"[(687.5, 371.5)]";"[0]"
610;0.12727189064;"[6.5192022, 6.6708322]";"[(688.5, 366.5), (436.5, 355.5)]";"[0, 0]"
611;0.0979390144348;"[6.041523, 5.7008772]";"[(689.5, 361.5), (896.5, 500.5)]";"[0, 0]"
612;0.124835968018;"[6.3639612, 6.6708322]";"[(689.5, 356.5), (438.5, 346.5)]";"[0, 0]"
613;0.124401807785;"[5.7008772, 6.5192022]";"[(689.5, 351.5), (438.5, 340.5)]";"[0, 0]"
614;0.100847005844;"[6.9641943, 5.7008772]";"[(692.5, 345.5), (898.5, 483.5)]";"[0, 0]"
615;0.0981931686401;"[6.5192022]";"[(692.5, 340.5)]";"[0]"
616;0.0978820323944;"[6.6708322, 5.7008772, 5.7008772]";"[(440.5, 323.5), (899.5, 473.5), (692.5, 337.5)]";"[0, 0, 0]"
617;0.120187044144;"[]";"[]";"[]"
618;0.123180150986;"[7.1063352, 5.7008772]";"[(693.5, 326.5), (900.5, 464.5)]";"[0, 0]"
619;0.124998092651;"[6.041523]";"[(695.5, 323.5)]";"[0]"
620;0.113593101501;"[6.6708322]";"[(446.5, 309.5)]";"[0]"
621;0.119124889374;"[6.6708322]";"[(446.5, 310.5)]";"[0]"
622;0.113817930222;"[5.7008772, 5.7008772]";"[(911.5, 457.5), (450.5, 309.5)]";"[0, 0]"
623;0.12285399437;"[6.6708322, 6.6708322]";"[(452.5, 303.5), (702.5, 314.5)]";"[0, 0]"
624;0.089900970459;"[6.5192022]";"[(701.5, 309.5)]";"[0]"
625;0.12760591507;"[]";"[]";"[]"
626;0.125779867172;"[]";"[]";"[]"
627;0.143656015396;"[6.5192022, 6.6708322]";"[(702.5, 291.5), (450.5, 281.5)]";"[0, 0]"
628;0.126492023468;"[6.041523, 6.6708322]";"[(704.5, 289.5), (452.5, 280.5)]";"[0, 0]"
629;0.136160135269;"[]";"[]";"[]"
630;0.1262819767;"[5.7008772]";"[(705.5, 287.5)]";"[0]"
