ann_cir;frameno;red_tp;green_tp;red_fp;green_fp;red_fn;green_fn;Frame;rfp_con;gfp_con;color
2;0;2;0;0;0;0;0;True;0;0;0
2;1;2;0;0;0;0;0;True;0;0;0
2;2;2;0;0;0;0;0;True;0;0;0
2;3;2;0;0;0;0;0;True;0;0;0
2;4;2;0;0;0;0;0;True;0;0;0
2;5;0;0;0;0;2;0;False;0;0;0
2;6;1;0;0;0;0;0;True;0;0;0
2;7;2;0;0;0;0;0;True;0;0;0
2;8;1;0;0;0;0;0;True;0;0;0
2;9;2;0;0;0;0;0;True;0;0;0
2;10;2;0;0;0;0;0;True;0;0;0
2;11;1;0;0;0;0;0;True;0;0;0
2;12;1;0;0;0;0;0;True;0;0;0
2;13;2;0;0;0;0;0;True;0;0;0
2;14;1;0;0;0;0;0;True;0;0;0
2;15;2;0;0;0;0;0;True;0;0;0
2;16;1;0;0;0;0;0;True;0;0;0
2;17;1;0;0;0;0;0;True;0;0;0
2;18;1;0;0;0;0;0;True;0;0;0
2;19;2;0;0;0;0;0;True;0;0;0
2;20;2;0;0;0;0;0;True;0;0;0
2;21;1;0;0;0;0;0;True;0;0;0
2;22;1;0;0;0;0;0;True;0;0;0
2;23;1;0;0;0;0;0;True;0;0;0
2;24;1;0;0;0;0;0;True;0;0;0
2;25;1;0;0;0;0;0;True;0;0;0
2;26;2;0;0;0;0;0;True;0;0;0
2;27;1;0;0;0;0;0;True;0;0;0
2;28;1;0;0;0;0;0;True;0;0;0
2;29;1;0;0;0;0;0;True;0;0;0
2;30;2;0;0;0;0;0;True;0;0;0
2;31;1;0;0;0;0;0;True;0;0;0
2;32;2;0;0;0;0;0;True;0;0;0
2;33;0;0;0;0;2;0;False;0;0;0
2;34;2;0;0;0;0;0;True;0;0;0
2;35;2;0;0;0;0;0;True;0;0;0
2;36;1;0;0;0;0;0;True;0;0;0
2;37;1;0;0;0;0;0;True;0;0;0
2;38;1;0;0;0;0;0;True;0;0;0
2;39;1;0;0;0;0;0;True;0;0;0
2;40;2;0;0;0;0;0;True;0;0;0
2;41;1;0;0;0;0;0;True;0;0;0
2;42;2;0;1;0;0;0;True;0;0;0
2;43;1;0;0;0;0;0;True;0;0;0
2;44;2;0;0;0;0;0;True;0;0;0
2;45;1;0;0;0;0;0;True;0;0;0
2;46;2;0;0;0;0;0;True;0;0;0
2;47;2;0;0;0;0;0;True;0;0;0
2;48;1;0;0;0;0;0;True;0;0;0
2;49;2;0;0;0;0;0;True;0;0;0
2;50;1;0;0;0;0;0;True;0;0;0
2;51;2;0;0;0;0;0;True;0;0;0
2;52;1;0;0;0;0;0;True;0;0;0
2;53;2;0;0;0;0;0;True;0;0;0
2;54;2;0;0;0;0;0;True;0;0;0
2;55;2;0;0;0;0;0;True;0;0;0
2;56;1;0;0;0;0;0;True;0;0;0
2;57;0;0;0;0;2;0;False;0;0;0
2;58;2;0;0;0;0;0;True;0;0;0
2;59;2;0;0;0;0;0;True;0;0;0
2;60;1;0;0;0;0;0;True;0;0;0
2;61;1;0;0;0;0;0;True;0;0;0
2;62;2;0;0;0;0;0;True;0;0;0
2;63;0;0;0;0;2;0;False;0;0;0
2;64;1;0;0;0;0;0;True;0;0;0
2;65;1;0;0;0;0;0;True;0;0;0
2;66;2;0;0;0;0;0;True;0;0;0
2;67;2;0;0;0;0;0;True;0;0;0
2;68;2;0;0;0;0;0;True;0;0;0
2;69;2;0;0;0;0;0;True;0;0;0
2;70;2;0;0;0;0;0;True;0;0;0
2;71;2;0;0;0;0;0;True;0;0;0
2;72;2;0;0;0;0;0;True;0;0;0
2;73;2;0;0;0;0;0;True;0;0;0
2;74;1;0;0;0;0;0;True;0;0;0
2;75;0;0;0;0;2;0;False;0;0;0
2;76;2;0;0;0;0;0;True;0;0;0
2;77;2;0;0;0;0;0;True;0;0;0
2;78;1;0;0;0;0;0;True;0;0;0
2;79;2;0;0;0;0;0;True;0;0;0
2;80;2;0;0;0;0;0;True;0;0;0
2;81;2;0;0;0;0;0;True;0;0;0
2;82;1;0;0;0;0;0;True;0;0;0
2;83;2;0;0;0;0;0;True;0;0;0
2;84;2;0;0;0;0;0;True;0;0;0
2;85;1;0;0;0;0;0;True;0;0;0
2;86;1;0;0;0;0;0;True;0;0;0
2;87;2;0;0;0;0;0;True;0;0;0
2;88;2;0;0;0;0;0;True;0;0;0
2;89;1;0;0;0;0;0;True;0;0;0
2;90;2;0;0;0;0;0;True;0;0;0
2;91;1;0;0;0;0;0;True;0;0;0
2;92;1;0;0;0;0;0;True;0;0;0
2;93;1;0;0;0;0;0;True;0;0;0
2;94;2;0;0;0;0;0;True;0;0;0
2;95;2;0;0;0;0;0;True;0;0;0
2;96;2;0;0;0;0;0;True;0;0;0
2;97;2;0;0;0;0;0;True;0;0;0
2;98;1;0;0;0;0;0;True;0;0;0
2;99;1;0;0;0;0;0;True;0;0;0
2;100;1;0;0;0;0;0;True;0;0;0
2;101;1;0;0;0;0;0;True;0;0;0
2;102;1;0;0;0;0;0;True;0;0;0
2;103;2;0;0;0;0;0;True;0;0;0
2;104;2;0;0;0;0;0;True;0;0;0
2;105;2;0;0;0;0;0;True;0;0;0
2;106;2;0;0;0;0;0;True;0;0;0
2;107;1;0;0;0;0;0;True;0;0;0
2;108;2;0;0;0;0;0;True;0;0;0
2;109;2;0;0;0;0;0;True;0;0;0
2;110;1;0;0;0;0;0;True;0;0;0
2;111;2;0;0;0;0;0;True;0;0;0
2;112;1;0;0;0;0;0;True;0;0;0
2;113;1;0;0;0;0;0;True;0;0;0
2;114;2;0;0;0;0;0;True;0;0;0
2;115;2;0;0;0;0;0;True;0;0;0
2;116;2;0;0;0;0;0;True;0;0;0
2;117;1;0;0;0;0;0;True;0;0;0
2;118;1;0;0;0;0;0;True;0;0;0
2;119;1;0;0;0;0;0;True;0;0;0
2;120;2;0;0;0;0;0;True;0;0;0
2;121;1;0;0;0;0;0;True;0;0;0
2;122;1;0;0;0;0;0;True;0;0;0
2;123;1;0;0;0;0;0;True;0;0;0
2;124;1;0;0;0;0;0;True;0;0;0
2;125;2;0;0;0;0;0;True;0;0;0
2;126;2;0;0;0;0;0;True;0;0;0
2;127;1;0;0;0;0;0;True;0;0;0
2;128;1;0;0;0;0;0;True;0;0;0
2;129;1;0;0;0;0;0;True;0;0;0
2;130;2;0;0;0;0;0;True;0;0;0
2;131;1;0;0;0;0;0;True;0;0;0
2;132;1;0;0;0;0;0;True;0;0;0
2;133;2;0;0;0;0;0;True;0;0;0
2;134;2;0;0;0;0;0;True;0;0;0
2;135;1;0;0;0;0;0;True;0;0;0
2;136;2;0;0;0;0;0;True;0;0;0
2;137;1;0;0;0;0;0;True;0;0;0
2;138;2;0;0;0;0;0;True;0;0;0
2;139;1;0;0;0;0;0;True;0;0;0
2;140;1;0;0;0;0;0;True;0;0;0
2;141;1;0;0;0;0;0;True;0;0;0
2;142;2;0;0;0;0;0;True;0;0;0
2;143;2;0;0;0;0;0;True;0;0;0
2;144;1;0;0;0;0;0;True;0;0;0
2;145;2;0;0;0;0;0;True;0;0;0
2;146;2;0;0;0;0;0;True;0;0;0
2;147;2;0;0;0;0;0;True;0;0;0
2;148;2;0;0;0;0;0;True;0;0;0
2;149;2;0;0;0;0;0;True;0;0;0
2;150;2;0;0;0;0;0;True;0;0;0
2;151;1;0;0;0;0;0;True;0;0;0
2;152;1;0;0;0;0;0;True;0;0;0
2;153;1;0;0;0;0;0;True;0;0;0
2;154;2;0;0;0;0;0;True;0;0;0
2;155;1;0;0;0;0;0;True;0;0;0
2;156;1;0;0;0;0;0;True;0;0;0
2;157;2;0;0;0;0;0;True;0;0;0
2;158;2;0;0;0;0;0;True;0;0;0
2;159;2;0;0;0;0;0;True;0;0;0
2;160;1;0;0;0;0;0;True;0;0;0
2;161;2;0;0;0;0;0;True;0;0;0
2;162;0;0;1;0;0;0;False;0;0;0
2;163;1;0;0;0;0;0;True;0;0;0
2;164;1;0;0;0;0;0;True;0;0;0
2;165;2;0;0;0;0;0;True;0;0;0
2;166;1;0;0;0;0;0;True;0;0;0
2;167;0;0;0;0;2;0;False;0;0;0
2;168;1;0;0;0;0;0;True;0;0;0
2;169;2;0;0;0;0;0;True;0;0;0
2;170;2;0;0;0;0;0;True;0;0;0
2;171;2;0;0;0;0;0;True;0;0;0
2;172;2;0;0;0;0;0;True;0;0;0
2;173;1;0;0;0;0;0;True;0;0;0
2;174;1;0;0;0;0;0;True;0;0;0
2;175;1;0;0;0;0;0;True;0;0;0
2;176;2;0;0;0;0;0;True;0;0;0
2;177;0;0;2;0;0;0;False;0;0;0
2;178;1;0;0;0;0;0;True;0;0;0
2;179;1;0;0;0;0;0;True;0;0;0
2;180;0;0;0;0;2;0;False;0;0;0
2;181;2;0;0;0;0;0;True;0;0;0
2;182;1;0;0;0;0;0;True;0;0;0
2;183;0;0;0;0;2;0;False;0;0;0
2;184;0;0;0;0;2;0;False;0;0;0
2;185;0;0;0;0;2;0;False;0;0;0
2;186;2;0;0;0;0;0;True;0;0;0
2;187;1;0;0;0;0;0;True;0;0;0
2;188;1;0;0;0;0;0;True;0;0;0
2;189;1;0;0;0;0;0;True;0;0;0
2;190;2;0;0;0;0;0;True;0;0;0
2;191;2;0;0;0;0;0;True;0;0;0
2;192;2;0;0;0;0;0;True;0;0;0
2;193;0;0;0;0;2;0;False;0;0;0
2;194;2;0;0;0;0;0;True;0;0;0
2;195;2;0;0;0;0;0;True;0;0;0
2;196;0;0;0;0;2;0;False;0;0;0
2;197;1;0;0;0;0;0;True;0;0;0
2;198;2;0;0;0;0;0;True;0;0;0
2;199;2;0;0;0;0;0;True;0;0;0
2;200;2;0;0;0;0;0;True;0;0;0
2;201;0;0;0;0;2;0;False;0;0;0
2;202;2;0;0;0;0;0;True;0;0;0
2;203;2;0;0;0;0;0;True;0;0;0
2;204;1;0;0;0;0;0;True;0;0;0
2;205;2;0;0;0;0;0;True;0;0;0
2;206;0;0;0;0;2;0;False;0;0;0
2;207;2;0;0;0;0;0;True;0;0;0
2;208;0;0;1;0;0;0;False;0;0;0
2;209;2;0;0;0;0;0;True;0;0;0
2;210;1;0;0;0;0;0;True;0;0;0
1;211;1;0;0;0;0;0;True;0;0;0
1;212;1;0;0;0;0;0;True;0;0;0
1;213;1;0;0;0;0;0;True;0;0;0
1;214;1;0;0;0;0;0;True;0;0;0
1;215;1;0;0;0;0;0;True;0;0;0
1;216;1;0;0;0;0;0;True;0;0;0
1;217;1;0;0;0;0;0;True;0;0;0
1;218;1;0;0;0;0;0;True;0;0;0
1;219;1;0;0;0;0;0;True;0;0;0
1;220;0;0;0;0;1;0;False;0;0;0
1;221;1;0;0;0;0;0;True;0;0;0
1;222;0;0;0;0;1;0;False;0;0;0
1;223;1;0;0;0;0;0;True;0;0;0
1;224;1;0;0;0;0;0;True;0;0;0
1;225;1;0;0;0;0;0;True;0;0;0
1;226;1;0;0;0;0;0;True;0;0;0
1;227;0;0;0;0;1;0;False;0;0;0
1;228;0;0;0;0;1;0;False;0;0;0
1;229;1;0;0;0;0;0;True;0;0;0
1;230;0;0;0;0;1;0;False;0;0;0
1;231;1;0;0;0;0;0;True;0;0;0
1;232;1;0;0;0;0;0;True;0;0;0
1;233;0;0;0;0;1;0;False;0;0;0
1;234;1;0;1;0;0;0;True;0;0;0
1;235;1;0;0;0;0;0;True;0;0;0
1;236;1;0;0;0;0;0;True;0;0;0
1;237;1;0;0;0;0;0;True;0;0;0
1;238;1;0;0;0;0;0;True;0;0;0
1;239;0;0;0;0;1;0;False;0;0;0
1;240;0;0;0;0;1;0;False;0;0;0
1;241;1;0;0;0;0;0;True;0;0;0
1;242;1;0;0;0;0;0;True;0;0;0
1;243;1;0;1;0;0;0;True;0;0;0
