frameno;frametime;recpoint;cir_pos;color
5035;0.0200078487396;"[56, 124, 802, 364]";"[(293, 176)]";"[0]"
5036;0.016566991806;"[56, 122, 802, 362]";"[(289, 183)]";"[0]"
5037;0.0132999420166;"[56, 119, 802, 359]";"[(285, 193), (492, 224)]";"[0, 0]"
5038;0.015310049057;"[57, 121, 803, 361]";"[(490, 229), (283, 198)]";"[0, 0]"
5039;0.0212299823761;"[56, 125, 802, 365]";"[(296, 198), (502, 229)]";"[0, 0]"
5040;0.0237770080566;"[56, 125, 802, 365]";"[(520, 230), (314, 200)]";"[0, 0]"
5041;0.0164489746094;"[55, 115, 801, 355]";"[(532, 223), (327, 194)]";"[0, 0]"
5042;0.0153238773346;"[55, 106, 801, 346]";"[(338, 193)]";"[0]"
5043;0.0689740180969;"[56, 104, 802, 344]";"[(338, 193)]";"[0]"
5044;0.014928817749;"[56, 101, 802, 341]";"[(341, 221), (544, 247)]";"[0, 0]"
5045;0.0142369270325;"[56, 101, 802, 341]";"[(520, 243), (316, 217)]";"[0, 0]"
5046;0.0130131244659;"[56, 103, 802, 343]";"[(297, 208), (503, 237)]";"[0, 0]"
5047;0.0135188102722;"[56, 105, 802, 345]";"[(501, 235), (296, 206)]";"[0, 0]"
5048;0.0150451660156;"[56, 106, 802, 346]";"[(501, 227), (296, 198)]";"[0, 0]"
5049;0.0178599357605;"[57, 107, 803, 347]";"[(516, 223), (311, 197)]";"[0, 0]"
5050;0.0138800144196;"[57, 108, 803, 348]";"[(324, 200), (529, 228)]";"[0, 0]"
5051;0.0117619037628;"[56, 107, 802, 347]";"[(526, 231), (322, 203)]";"[0, 0]"
5052;0.0170071125031;"[56, 105, 802, 345]";"[(313, 206), (519, 233)]";"[0, 0]"
5053;0.0176360607147;"[56, 104, 802, 344]";"[(515, 241), (310, 215)]";"[0, 0]"
5054;0.0145320892334;"[56, 104, 802, 344]";"[(311, 219), (514, 245)]";"[0, 0]"
5055;0.0122852325439;"[56, 104, 802, 344]";"[(305, 222)]";"[0]"
