frameno;frametime;radious;cir_pos;color
3824;0.197755098343;"[6.9641943, 7.6485291, 6.6708322]";"[(558.5, 522.5), (728.5, 187.5), (382.5, 162.5)]";"[0, 1, 1]"
3825;0.198815107346;"[5.7008772, 7.6485291, 6.6708322]";"[(555.5, 525.5), (712.5, 191.5), (364.5, 162.5)]";"[0, 1, 1]"
3826;0.179821014404;"[9.5131493, 7.5166483, 6.9641943]";"[(1485.5, 526.5), (696.5, 197.5), (347.5, 168.5)]";"[0, 1, 1]"
3827;0.196981906891;"[5.7008772, 8.7464275, 6.6708322]";"[(440.5, 531.5), (673.5, 190.5), (319.5, 160.5)]";"[0, 1, 1]"
3828;0.210872173309;"[5.7008772, 7.1063352, 6.6708322]";"[(524.5, 505.5), (646.5, 163.5), (284.5, 132.5)]";"[0, 1, 1]"
3829;0.146456003189;"[7.905694, 7.6485291, 6.6708322]";"[(1550.5, 506.5), (641.5, 147.5), (276.5, 117.5)]";"[0, 1, 1]"
3830;0.202169895172;"[8.6313381, 6.5192022]";"[(644.5, 136.5), (280.5, 110.5)]";"[1, 1]"
3831;0.198935031891;"[7.6485291, 5.7008772]";"[(648.5, 124.5), (281.5, 99.5)]";"[1, 1]"
3832;0.150671958923;"[7.6485291, 6.6708322]";"[(646.5, 113.5), (276.5, 86.5)]";"[1, 1]"
3833;0.140794992447;"[7.6485291, 5.7008772]";"[(642.5, 113.5), (271.5, 84.5)]";"[1, 1]"
3834;0.137696027756;"[6.5192022, 8.6313381]";"[(264.5, 89.5), (636.5, 120.5)]";"[1, 1]"
3835;0.139482975006;"[7.6485291, 7.7781744, 5.7008772, 7.6485291]";"[(1448.5, 478.5), (634.5, 128.5), (261.5, 96.5), (840.5, 321.5)]";"[0, 1, 1, 1]"
3836;0.132365942001;"[5.7008772, 8.7464275]";"[(261.5, 107.5), (632.5, 137.5)]";"[1, 1]"
3837;0.20981502533;"[6.6708322, 7.5166483, 5.7008772]";"[(939.5, 441.5), (629.5, 146.5), (256.5, 115.5)]";"[0, 1, 1]"
