frameno;frametime;colorfiltertime;circledettime;radious;cir_pos;color
31;0.112328052521;0.0498869419098;0.0432591438293;"[9.5131493, 8.7464275, 8.276473]";"[(713.5, 304.5), (461.5, 290.5), (982.5, 516.5)]";"[0, 0, 1]"
32;0.116239070892;0.0512499809265;0.0433869361877;"[8.6313381, 9.1923885, 8.5146933]";"[(462.5, 289.5), (714.5, 305.5), (983.5, 517.5)]";"[0, 0, 1]"
33;0.110714912415;0.0497720241547;0.042417049408;"[9.3005381, 7.905694]";"[(461.5, 289.5), (984.5, 517.5)]";"[0, 1]"
34;0.0887360572815;0.0367500782013;0.0372409820557;"[9.3005381, 9.1923885, 5.7008772, 8.5146933]";"[(461.5, 290.5), (714.5, 306.5), (1229.5, 535.5), (984.5, 518.5)]";"[0, 0, 0, 1]"
35;0.0944199562073;0.0418570041656;0.0375709533691;"[7.6485291, 7.905694, 9.3005381, 7.905694]";"[(599.5, 559.5), (459.5, 291.5), (713.5, 307.5), (982.5, 518.5)]";"[0, 0, 0, 1]"
36;0.119423866272;0.053603887558;0.044312953949;"[8.6313381, 8.8600225, 8.6313381]";"[(462.5, 292.5), (713.5, 308.5), (982.5, 519.5)]";"[0, 0, 1]"
37;0.118868112564;0.0531549453735;0.0444569587708;"[7.7781744, 8.8600225, 7.1063352, 8.7464275]";"[(461.5, 292.5), (714.5, 309.5), (609.5, 560.5), (983.5, 521.5)]";"[0, 0, 0, 1]"
38;0.0963749885559;0.0418918132782;0.0380351543427;"[8.8600225, 9.1923885, 7.1063352]";"[(462.5, 294.5), (715.5, 309.5), (985.5, 520.5)]";"[0, 0, 1]"
39;0.108533859253;0.0483939647675;0.0415799617767;"[7.7781744, 9.1923885, 5.7008772, 7.905694]";"[(463.5, 295.5), (715.5, 309.5), (1251.5, 541.5), (984.5, 521.5)]";"[0, 0, 0, 1]"
40;0.12003493309;0.0541260242462;0.0442180633545;"[7.6485291, 9.1923885, 6.3639612, 5.7008772, 6.6708322]";"[(463.5, 293.5), (714.5, 310.5), (1285.5, 549.5), (683.5, 500.5), (983.5, 520.5)]";"[0, 0, 0, 0, 1]"
41;0.120429039001;0.0538721084595;0.0440471172333;"[8.8600225, 8.276473, 8.7464275, 7.7781744]";"[(714.5, 311.5), (463.5, 295.5), (664.5, 562.5), (983.5, 521.5)]";"[0, 0, 0, 1]"
42;0.0968608856201;0.0419490337372;0.0378580093384;"[8.7464275, 9.1923885, 7.905694, 7.905694]";"[(463.5, 294.5), (714.5, 310.5), (681.5, 501.5), (983.5, 521.5)]";"[0, 0, 0, 1]"
43;0.11278796196;0.0498430728912;0.0425491333008;"[9.1923885, 9.3005381, 8.6313381, 7.905694]";"[(714.5, 310.5), (667.5, 561.5), (462.5, 294.5), (983.5, 521.5)]";"[0, 0, 0, 1]"
44;0.0866239070892;0.0363879203796;0.0360329151154;"[9.3005381, 7.905694, 7.905694]";"[(460.5, 293.5), (670.5, 561.5), (982.5, 521.5)]";"[0, 0, 1]"
45;0.102932929993;0.0469508171082;0.0389518737793;"[9.1923885, 8.6313381, 8.7464275, 8.8600225]";"[(711.5, 308.5), (457.5, 292.5), (669.5, 560.5), (979.5, 520.5)]";"[0, 0, 0, 1]"
46;0.0886118412018;0.0375080108643;0.0377750396729;"[7.905694, 8.7464275, 8.5146933, 7.905694]";"[(455.5, 291.5), (708.5, 308.5), (671.5, 561.5), (978.5, 519.5)]";"[0, 0, 0, 1]"
47;0.111876964569;0.051059961319;0.0405430793762;"[7.905694, 7.905694]";"[(453.5, 292.5), (977.5, 519.5)]";"[0, 1]"
48;0.084979057312;0.0365250110626;0.0348250865936;"[9.5131493, 8.7464275, 5.7008772, 5.7008772]";"[(707.5, 307.5), (454.5, 292.5), (627.5, 561.5), (927.5, 441.5)]";"[0, 0, 0, 0]"
49;0.0845990180969;0.0363349914551;0.0347721576691;"[7.6485291, 8.276473]";"[(455.5, 289.5), (976.5, 519.5)]";"[0, 1]"
50;0.109666109085;0.049674987793;0.0399298667908;"[7.6485291, 9.1923885, 9.3005381, 8.276473]";"[(453.5, 288.5), (708.5, 305.5), (677.5, 557.5), (976.5, 518.5)]";"[0, 0, 0, 1]"
51;0.0853691101074;0.0364210605621;0.0347409248352;"[8.8600225, 8.6313381, 6.9641943, 7.5166483]";"[(708.5, 306.5), (454.5, 289.5), (637.5, 554.5), (976.5, 517.5)]";"[0, 0, 0, 1]"
52;0.0855350494385;0.036337852478;0.0347819328308;"[8.6313381, 9.1923885, 6.6708322, 7.5166483]";"[(454.5, 290.5), (708.5, 306.5), (639.5, 557.5), (976.5, 518.5)]";"[0, 0, 0, 1]"
53;0.108824014664;0.0493340492249;0.0401310920715;"[9.1923885, 8.7464275, 7.6485291]";"[(708.5, 307.5), (454.5, 290.5), (977.5, 519.5)]";"[0, 0, 1]"
54;0.0896530151367;0.0363130569458;0.0347938537598;"[9.3005381, 7.7781744, 8.5146933, 7.905694]";"[(707.5, 309.5), (452.5, 292.5), (645.5, 557.5), (976.5, 521.5)]";"[0, 0, 0, 1]"
55;0.126054048538;0.0554039478302;0.0456199645996;"[8.8600225, 5.7008772, 7.1063352]";"[(705.5, 310.5), (644.5, 561.5), (976.5, 521.5)]";"[0, 0, 1]"
