ann_cir;frameno;red_tp;green_tp;red_fp;green_fp;red_fn;green_fn;Frame;rfp_con;gfp_con;color
2;0;2;0;0;0;0;0;True;0;0;0
2;10;2;0;0;0;0;0;True;0;0;0
2;20;1;0;0;0;0;0;True;0;0;0
2;30;2;0;0;0;0;0;True;0;0;0
2;40;1;0;0;0;0;0;True;0;0;0
2;50;2;0;0;0;0;0;True;0;0;0
2;60;2;0;0;0;0;0;True;0;0;0
2;70;2;0;0;0;0;0;True;0;0;0
2;80;2;0;0;0;0;0;True;0;0;0
2;90;2;0;0;0;0;0;True;0;0;0
2;100;1;0;0;0;0;0;True;0;0;0
2;110;2;0;0;0;0;0;True;0;0;0
2;120;2;0;0;0;0;0;True;0;0;0
2;130;2;0;0;0;0;0;True;0;0;0
2;140;1;0;0;0;0;0;True;0;0;0
2;150;2;0;0;0;0;0;True;0;0;0
2;160;2;0;0;0;0;0;True;0;0;0
2;170;2;0;0;0;0;0;True;0;0;0
2;180;2;0;0;0;0;0;True;0;0;0
2;190;2;0;0;0;0;0;True;0;0;0
2;200;2;0;0;0;0;0;True;0;0;0
2;210;2;0;0;0;0;0;True;0;0;0
2;220;2;0;0;0;0;0;True;0;0;0
2;230;1;0;0;0;0;0;True;0;0;0
2;240;2;0;0;0;0;0;True;0;0;0
2;250;2;0;0;0;0;0;True;0;0;0
2;260;2;0;0;0;0;0;True;0;0;0
2;270;2;0;0;0;0;0;True;0;0;0
2;280;2;0;0;0;0;0;True;0;0;0
2;290;2;0;0;0;0;0;True;0;0;0
2;300;2;0;0;0;0;0;True;0;0;0
2;310;2;0;0;0;0;0;True;0;0;0
2;320;1;0;0;0;0;0;True;0;0;0
2;330;1;0;0;0;0;0;True;0;0;0
2;340;1;0;0;0;0;0;True;0;0;0
2;350;0;2;0;0;0;0;True;0;0;1
2;360;0;1;0;0;0;0;True;0;0;1
2;370;0;1;0;0;0;0;True;0;0;1
2;380;0;2;0;0;0;0;True;0;0;1
2;390;0;1;0;0;0;0;True;0;0;1
2;400;0;2;0;0;0;0;True;0;0;1
2;410;0;2;0;0;0;0;True;0;0;1
2;420;0;2;0;0;0;0;True;0;0;1
2;430;0;2;0;0;0;0;True;0;0;1
2;440;0;1;0;0;0;0;True;0;0;1
2;450;0;2;0;0;0;0;True;0;0;1
2;460;0;2;0;0;0;0;True;0;0;1
2;470;0;2;0;0;0;0;True;0;0;1
2;480;0;2;0;0;0;0;True;0;0;1
2;490;0;2;0;0;0;0;True;0;0;1
2;500;0;2;0;0;0;0;True;0;0;1
2;510;0;1;0;0;0;0;True;0;0;1
2;520;0;1;0;0;0;0;True;0;0;1
2;530;0;1;0;0;0;0;True;0;0;1
2;540;0;2;0;0;0;0;True;0;0;1
