frameno;frametime;colorfiltertime;circledettime;radious;cir_pos;color
3463;0.120616197586;0.0521960258484;0.0472569465637;"[5.7008772, 9.1923885, 8.5146933]";"[(545.5, 809.5), (1501.5, 381.5), (879.5, 977.5)]";"[0, 1, 1]"
3464;0.124320030212;0.0543351173401;0.0483329296112;"[5.7008772, 5.7008772, 6.5192022]";"[(767.5, 818.5), (545.5, 797.5), (879.5, 964.5)]";"[0, 0, 1]"
3465;0.123593091965;0.0540390014648;0.0470309257507;"[5.7008772]";"[(766.5, 809.5)]";"[0]"
3466;0.0965750217438;0.0394411087036;0.042179107666;"[5.7008772, 5.7008772, 8.8600225]";"[(765.5, 803.5), (541.5, 783.5), (1488.5, 340.5)]";"[0, 0, 1]"
3467;0.0957419872284;0.038813829422;0.042552947998;"[5.7008772, 5.7008772]";"[(762.5, 793.5), (539.5, 773.5)]";"[0, 0]"
3468;0.0961849689484;0.0390620231628;0.0422561168671;"[6.6708322, 5.7008772]";"[(759.5, 780.5), (537.5, 760.5)]";"[0, 0]"
3469;0.0966558456421;0.0388350486755;0.0434439182281;"[5.7008772, 5.7008772]";"[(760.5, 767.5), (538.5, 746.5)]";"[0, 0]"
3470;0.113665103912;0.0513348579407;0.0421848297119;"[5.7008772, 5.7008772]";"[(762.5, 749.5), (541.5, 729.5)]";"[0, 0]"
3471;0.0945491790771;0.0387101173401;0.0364389419556;"[]";"[]";"[]"
3472;0.112133026123;0.0508980751038;0.0411601066589;"[5.7008772, 5.5226803]";"[(762.5, 697.5), (540.5, 676.5)]";"[0, 0]"
3473;0.12308716774;0.055056810379;0.0459389686584;"[5.7008772, 9.1923885]";"[(760.5, 666.5), (1508.5, 179.5)]";"[0, 1]"
3474;0.0897309780121;0.0385410785675;0.0362710952759;"[5.7008772, 5.7008772, 7.905694]";"[(761.5, 638.5), (539.5, 616.5), (1503.5, 185.5)]";"[0, 0, 1]"
3475;0.0897059440613;0.0383179187775;0.0363819599152;"[]";"[]";"[]"
3476;0.0911359786987;0.0398750305176;0.0363869667053;"[5.7008772]";"[(759.5, 563.5)]";"[0]"
3477;0.09681391716;0.0388889312744;0.043224811554;"[5.7008772]";"[(758.5, 538.5)]";"[0]"
3478;0.105804204941;0.0436520576477;0.0459899902344;"[5.7008772, 5.7008772]";"[(757.5, 521.5), (535.5, 500.5)]";"[0, 0]"
3479;0.115205049515;0.0467090606689;0.0453269481659;"[5.7008772, 5.7008772]";"[(757.5, 501.5), (535.5, 479.5)]";"[0, 0]"
3480;0.101892948151;0.041778087616;0.0441601276398;"[5.7008772]";"[(757.5, 484.5)]";"[0]"
3481;0.107032060623;0.0443420410156;0.043417930603;"[5.7008772, 5.7008772]";"[(537.5, 450.5), (759.5, 472.5)]";"[0, 0]"
3482;0.103091001511;0.0422651767731;0.0467150211334;"[5.7008772, 6.6708322]";"[(758.5, 463.5), (538.5, 441.5)]";"[0, 0]"
3483;0.114166021347;0.0477559566498;0.0447700023651;"[5.7008772]";"[(758.5, 455.5)]";"[0]"
3484;0.127367973328;0.0549559593201;0.0506808757782;"[5.7008772, 5.7008772]";"[(755.5, 446.5), (532.5, 424.5)]";"[0, 0]"
3485;0.100020170212;0.0413107872009;0.0422608852386;"[5.7008772, 5.7008772]";"[(750.5, 440.5), (527.5, 417.5)]";"[0, 0]"
3486;0.118873119354;0.0522549152374;0.0462720394135;"[5.7008772]";"[(748.5, 429.5)]";"[0]"
3487;0.107783079147;0.0443789958954;0.0466132164001;"[5.7008772]";"[(749.5, 413.5)]";"[0]"
3488;0.112629175186;0.0479848384857;0.0462579727173;"[5.7008772, 5.7008772]";"[(753.5, 400.5), (531.5, 377.5)]";"[0, 0]"
3489;0.108490943909;0.0483031272888;0.0401351451874;"[5.7008772, 5.7008772]";"[(758.5, 385.5), (536.5, 363.5)]";"[0, 0]"
3490;0.121747016907;0.0532028675079;0.0487489700317;"[5.7008772, 5.7008772]";"[(541.5, 341.5), (763.5, 364.5)]";"[0, 0]"
3491;0.125221967697;0.0547320842743;0.0489590167999;"[5.7008772, 5.7008772]";"[(769.5, 341.5), (546.5, 319.5)]";"[0, 0]"
3492;0.123366832733;0.0565490722656;0.0441989898682;"[5.7008772, 5.7008772]";"[(773.5, 322.5), (550.5, 299.5)]";"[0, 0]"
3493;0.0901329517365;0.0386509895325;0.0360908508301;"[5.7008772]";"[(773.5, 317.5)]";"[0]"
3494;0.110157012939;0.049712896347;0.0407419204712;"[5.7008772, 5.7008772, 7.1063352]";"[(776.5, 317.5), (553.5, 293.5), (890.5, 459.5)]";"[0, 0, 1]"
3495;0.0897250175476;0.0384428501129;0.0361080169678;"[5.7008772]";"[(557.5, 292.5)]";"[0]"
3496;0.104292869568;0.0451648235321;0.0408990383148;"[5.7008772, 5.7008772]";"[(781.5, 313.5), (559.5, 290.5)]";"[0, 0]"
3497;0.0997998714447;0.0410079956055;0.0438299179077;"[5.7008772, 5.7008772, 7.3824115]";"[(782.5, 313.5), (559.5, 288.5), (893.5, 454.5)]";"[0, 0, 1]"
3498;0.126690149307;0.05531001091;0.0506789684296;"[5.7008772, 5.7008772]";"[(561.5, 287.5), (783.5, 311.5)]";"[0, 0]"
3499;0.108222007751;0.0419828891754;0.0438461303711;"[5.7008772, 5.7008772, 5.7008772]";"[(784.5, 313.5), (562.5, 289.5), (893.5, 455.5)]";"[0, 0, 1]"
3500;0.117568016052;0.0511999130249;0.0472359657288;"[5.7008772, 5.7008772]";"[(787.5, 316.5), (564.5, 292.5)]";"[0, 0]"
3501;0.126045942307;0.0534329414368;0.0476448535919;"[5.7008772, 5.7008772]";"[(791.5, 318.5), (569.5, 296.5)]";"[0, 0]"
3502;0.104144096375;0.0445690155029;0.044869184494;"[5.7008772, 5.7008772, 7.3824115]";"[(796.5, 322.5), (575.5, 298.5), (428.5, 584.5)]";"[0, 0, 0]"
3503;0.128757953644;0.0555510520935;0.0492169857025;"[5.7008772, 5.7008772, 8.6313381]";"[(801.5, 322.5), (578.5, 299.5), (910.5, 462.5)]";"[0, 0, 1]"
3504;0.108399152756;0.0464770793915;0.0437481403351;"[5.7008772, 5.7008772, 8.7464275]";"[(802.5, 323.5), (581.5, 299.5), (914.5, 463.5)]";"[0, 0, 1]"
3505;0.111568927765;0.0462791919708;0.0441751480103;"[5.7008772, 5.7008772]";"[(585.5, 301.5), (806.5, 324.5)]";"[0, 0]"
3506;0.115374088287;0.0499379634857;0.0453021526337;"[5.7008772]";"[(810.5, 327.5)]";"[0]"
3507;0.0959150791168;0.0400338172913;0.0363910198212;"[5.7008772, 5.7008772]";"[(816.5, 327.5), (597.5, 305.5)]";"[0, 0]"
3508;0.10541677475;0.0449039936066;0.0442969799042;"[5.7008772, 5.7008772]";"[(820.5, 329.5), (601.5, 306.5)]";"[0, 0]"
3509;0.100472927094;0.0390288829803;0.0467000007629;"[5.7008772, 5.7008772]";"[(824.5, 331.5), (604.5, 308.5)]";"[0, 0]"
3510;0.0899069309235;0.0378789901733;0.0375409126282;"[5.7008772, 5.7008772]";"[(831.5, 333.5), (611.5, 311.5)]";"[0, 0]"
3511;0.136480093002;0.0601370334625;0.0455389022827;"[5.7008772, 5.7008772]";"[(838.5, 333.5), (619.5, 312.5)]";"[0, 0]"
3512;0.0946741104126;0.0417859554291;0.0361349582672;"[5.7008772]";"[(849.5, 335.5)]";"[0]"
3513;0.0907080173492;0.0380339622498;0.0363070964813;"[5.7008772]";"[(858.5, 337.5)]";"[0]"
3514;0.112869977951;0.0499968528748;0.0411288738251;"[5.7008772, 5.7008772]";"[(868.5, 337.5), (650.5, 316.5)]";"[0, 0]"
3515;0.105755805969;0.0422871112823;0.045184135437;"[5.7008772]";"[(880.5, 339.5)]";"[0]"
3516;0.115925073624;0.0508599281311;0.0459008216858;"[5.7008772, 6.5192022, 9.3005381, 5.7008772]";"[(895.5, 339.5), (678.5, 318.5), (915.5, 609.5), (1000.5, 478.5)]";"[0, 0, 0, 1]"
3517;0.126051902771;0.0524687767029;0.0495290756226;"[5.7008772]";"[(912.5, 339.5)]";"[0]"
3518;0.100429058075;0.0430490970612;0.0423901081085;"[5.7008772]";"[(712.5, 318.5)]";"[0]"
3519;0.0988988876343;0.038516998291;0.0435011386871;"[6.6708322, 5.7008772]";"[(19.5, 410.5), (943.5, 340.5)]";"[0, 0]"
3520;0.0951359272003;0.0386319160461;0.0419039726257;"[6.041523, 5.7008772]";"[(39.5, 409.5), (957.5, 340.5)]";"[0, 0]"
3521;0.116741895676;0.0486018657684;0.0482211112976;"[5.7008772, 6.041523]";"[(973.5, 339.5), (63.5, 409.5)]";"[0, 0]"
3522;0.0955510139465;0.0389289855957;0.0420188903809;"[5.7008772, 5.7008772]";"[(991.5, 338.5), (89.5, 407.5)]";"[0, 0]"
3523;0.0955898761749;0.0385890007019;0.0417289733887;"[6.5192022, 5.7008772, 5.7008772]";"[(114.5, 410.5), (1009.5, 339.5), (798.5, 319.5)]";"[0, 0, 0]"
3524;0.109105110168;0.0462658405304;0.0454440116882;"[5.7008772, 5.7008772]";"[(1030.5, 338.5), (141.5, 412.5)]";"[0, 0]"
3525;0.123891830444;0.0534081459045;0.0479190349579;"[5.7008772, 5.7008772]";"[(1051.5, 339.5), (171.5, 417.5)]";"[0, 0]"
3526;0.122066020966;0.0529639720917;0.048593044281;"[5.7008772, 5.7008772]";"[(1070.5, 341.5), (196.5, 419.5)]";"[0, 0]"
3527;0.0953929424286;0.0416550636292;0.0388851165771;"[5.7008772, 7.1063352]";"[(217.5, 420.5), (1199.5, 481.5)]";"[0, 1]"
3528;0.117734909058;0.0570130348206;0.0400321483612;"[5.7008772, 5.7008772]";"[(241.5, 422.5), (893.5, 328.5)]";"[0, 0]"
3529;0.098406791687;0.0421180725098;0.0389430522919;"[5.7008772, 5.7008772, 6.6708322]";"[(1124.5, 347.5), (264.5, 423.5), (1233.5, 486.5)]";"[0, 0, 1]"
3530;0.102395057678;0.0444390773773;0.0408959388733;"[5.7008772, 5.7008772]";"[(287.5, 424.5), (1143.5, 347.5)]";"[0, 0]"
3531;0.0937678813934;0.0419781208038;0.0369291305542;"[5.7008772, 5.7008772]";"[(309.5, 425.5), (1161.5, 348.5)]";"[0, 0]"
3532;0.122364044189;0.0527949333191;0.0487840175629;"[5.7008772, 8.8600225]";"[(329.5, 425.5), (1291.5, 486.5)]";"[0, 1]"
3533;0.114624977112;0.0483181476593;0.0482950210571;"[5.7008772, 5.7008772]";"[(351.5, 425.5), (1198.5, 346.5)]";"[0, 0]"
3534;0.125295162201;0.0518531799316;0.0503561496735;"[5.7008772, 5.7008772]";"[(1217.5, 345.5), (372.5, 425.5)]";"[0, 0]"
3535;0.0996780395508;0.0419580936432;0.0440499782562;"[5.7008772, 5.7008772]";"[(1234.5, 345.5), (391.5, 427.5)]";"[0, 0]"
3536;0.116941928864;0.0498898029327;0.0456790924072;"[5.7008772, 6.6708322]";"[(413.5, 428.5), (1252.5, 344.5)]";"[0, 0]"
3537;0.115215063095;0.0503079891205;0.0459649562836;"[5.7008772, 6.6708322, 6.041523]";"[(1272.5, 343.5), (432.5, 427.5), (1467.5, 499.5)]";"[0, 0, 0]"
3538;0.125530958176;0.0510261058807;0.0471251010895;"[5.7008772, 5.7008772]";"[(1072.5, 328.5), (453.5, 427.5)]";"[0, 0]"
3539;0.118655920029;0.0505478382111;0.0458059310913;"[5.7008772, 5.7008772, 7.6485291]";"[(1309.5, 337.5), (473.5, 426.5), (1430.5, 481.5)]";"[0, 0, 1]"
3540;0.108441114426;0.043044090271;0.0474331378937;"[5.7008772, 5.7008772]";"[(493.5, 425.5), (1330.5, 336.5)]";"[0, 0]"
3541;0.0964939594269;0.039167881012;0.0429530143738;"[5.7008772]";"[(1349.5, 334.5)]";"[0]"
3542;0.10089802742;0.0429840087891;0.0433580875397;"[5.7008772]";"[(1367.5, 331.5)]";"[0]"
3543;0.116301059723;0.0497908592224;0.0474879741669;"[5.7008772]";"[(1387.5, 329.5)]";"[0]"
3544;0.0900001525879;0.0391819477081;0.0363759994507;"[5.7008772]";"[(569.5, 422.5)]";"[0]"
3545;0.105865955353;0.0448679924011;0.0385458469391;"[6.5192022, 5.7008772, 5.7008772]";"[(1424.5, 333.5), (589.5, 426.5), (1624.5, 465.5)]";"[0, 0, 0]"
3546;0.117701053619;0.0543189048767;0.0423181056976;"[6.6708322, 5.7008772, 5.7008772]";"[(1442.5, 336.5), (1216.5, 326.5), (1645.5, 468.5)]";"[0, 0, 0]"
3547;0.103319168091;0.0450460910797;0.0380871295929;"[5.7008772, 6.6708322]";"[(1233.5, 327.5), (1461.5, 336.5)]";"[0, 0]"
3548;0.108030080795;0.0485398769379;0.0400989055634;"[6.041523]";"[(1477.5, 337.5)]";"[0]"
3549;0.116935968399;0.049024105072;0.048712015152;"[6.5192022, 5.7008772, 6.6708322]";"[(1489.5, 337.5), (1697.5, 470.5), (1303.5, 375.5)]";"[0, 0, 1]"
3550;0.0996961593628;0.0411360263824;0.0450699329376;"[6.6708322, 5.7008772, 5.7008772]";"[(1498.5, 337.5), (659.5, 437.5), (1267.5, 328.5)]";"[0, 0, 0]"
3551;0.105175018311;0.0427250862122;0.0423958301544;"[5.7008772, 5.7008772, 5.7008772, 5.7008772]";"[(1509.5, 337.5), (669.5, 436.5), (1719.5, 472.5), (1276.5, 328.5)]";"[0, 0, 0, 0]"
3552;0.0985908508301;0.0387389659882;0.0460391044617;"[6.6708322, 5.7008772]";"[(1519.5, 338.5), (1286.5, 329.5)]";"[0, 0]"
3553;0.109967947006;0.0439739227295;0.0465278625488;"[6.6708322]";"[(1525.5, 338.5)]";"[0]"
3554;0.119381904602;0.053270816803;0.0463528633118;"[6.6708322]";"[(1533.5, 339.5)]";"[0]"
3555;0.119932174683;0.0507700443268;0.0463900566101;"[6.6708322]";"[(1541.5, 341.5)]";"[0]"
3556;0.113882064819;0.0480720996857;0.0458190441132;"[6.041523]";"[(1549.5, 343.5)]";"[0]"
3557;0.0955131053925;0.0391581058502;0.0416741371155;"[6.6708322, 5.7008772]";"[(1553.5, 344.5), (1771.5, 479.5)]";"[0, 0]"
3558;0.121674060822;0.0529778003693;0.0482289791107;"[5.7008772, 5.7008772]";"[(1773.5, 481.5), (1556.5, 345.5)]";"[0, 0]"
3559;0.127995014191;0.0531640052795;0.0478060245514;"[6.6708322, 5.7008772]";"[(1556.5, 347.5), (1321.5, 338.5)]";"[0, 0]"
3560;0.1183989048;0.0511660575867;0.0477530956268;"[6.6708322]";"[(1559.5, 348.5)]";"[0]"
3561;0.108742952347;0.0483040809631;0.0393459796906;"[6.041523, 5.7008772]";"[(1561.5, 348.5), (1327.5, 339.5)]";"[0, 0]"
3562;0.12096786499;0.0508978366852;0.0489628314972;"[6.6708322, 5.7008772]";"[(1558.5, 347.5), (1325.5, 339.5)]";"[0, 0]"
3563;0.123631000519;0.0527150630951;0.0469560623169;"[6.6708322, 5.7008772]";"[(1555.5, 347.5), (1320.5, 339.5)]";"[0, 0]"
3564;0.113658905029;0.0492441654205;0.0403020381927;"[6.6708322, 5.7008772]";"[(1550.5, 347.5), (1317.5, 339.5)]";"[0, 0]"
3565;0.117416143417;0.0549101829529;0.0389850139618;"[6.041523]";"[(1543.5, 347.5)]";"[0]"
3566;0.0902509689331;0.0378930568695;0.036456823349;"[6.6708322, 5.7008772, 5.7008772]";"[(1534.5, 346.5), (1750.5, 481.5), (1300.5, 338.5)]";"[0, 0, 0]"
3567;0.105244874954;0.0460350513458;0.0400178432465;"[6.6708322, 5.7008772, 6.6708322]";"[(1523.5, 346.5), (1738.5, 480.5), (1650.5, 494.5)]";"[0, 0, 1]"
